,ASIN,title,price,rating,review_count
31,B07W6ZTMWP,"Gaming Keyboard and Mouse Combo, K1 LED Rainbow Backlit Keyboard with 104 Key Computer PC Gaming Keyboard for PC/Laptop(White)",36.99,4.6,4633
32,B087HFVLRK,X9 Performance Wireless Ergonomic Keyboard with Wrist Rest - Comfort meets Productivity - USB Wireless Keyboard with 104 Keys and 2 Tone Shiny Matte Finish - 2.4G RF PC Keyboard for Laptop or Computer,26.99,4.3,262
33,B08J6FC3F3,Corsair K60 RGB Pro Low Profile Mechanical Gaming Keyboard - Cherry MX Low Profile Speed Mechanical Keyswitches – Slim and Streamlined Durable Aluminum Frame - Customizable Per-Key RGB Backlighting,102.99,4.6,167
34,B08BKP1ZPW,"Multi-Devcie Bluetooth Keyboard for MAC OS/iOS/ipad OS,Jelly Comb Rechargeable Slim Wireless Keyboard Switch to 3 Devices Compatible for MacBook Pro,Air/iPad Pro,Air/Laptop/PC/Android/Windows",39.99,4.8,398
35,B075KMZ4MX,Razer Cynosa Chroma Gaming Keyboard: 168 Individually Backlit RGB Keys - Spill-Resistant Design - Programmable Macro Functionality - Quiet & Cushioned,,4.7,10575
36,B0873XBYRG,"Multi-Device Keyboard for Mac OS/iOS/iPad OS, Jelly Comb Bluetooth Keyboard for MacBook Pro/Air, iMac, iPhone, iPad Pro/Air/Mini, New iPad| Connect Up to 3 Devices (White and Silver)",43.99,4.4,2523
37,B087HFVLRK,X9 Performance Wireless Ergonomic Keyboard with Wrist Rest - Comfort meets Productivity - USB Wireless Keyboard with 104 Keys and 2 Tone Shiny Matte Finish - 2.4G RF PC Keyboard for Laptop or Computer,26.99,4.3,262
38,B07SSX2MSP,"RATEL Wireless Keyboard Mouse Combo, 2.4GHz Slim Full-Sized Silent Wireless Keyboard and Mouse Combo with USB Nano Receiver for Laptop, PC (Black)",26.99,4.4,5877
39,B0725X7NSJ,Logitech MK570 Wireless Wave Keyboard and Mouse Combo,,4.6,19924
40,B07S92QBCJ,Logitech MX Keys Advanced Wireless Illuminated Keyboard - Graphite,,4.8,6041
41,B07K1XB8Y5,Razer BlackWidow Elite Mechanical Gaming Keyboard: Orange Mechanical Switches - Tactile & Silent - Chroma RGB Lighting - Magnetic Wrist Rest - Dedicated Media Keys & Dial - USB Passthrough,130.31,4.7,5347
42,B084QGWFTH,X9 Performance Slim 2.4G USB Wireless Keyboard for Laptop or Computer - Designed for Windows - 110 Key Layout with Numeric Keypad and 17 Shortcut Keys - Rechargeable PC Keyboard Wireless - Aluminum,31.99,4.5,252
43,B08CHFKQN1,Macally USB Wireless Keyboard and Mouse Combo - 2.4Ghz Full Size Cordless Keyboard and DPI Optical Mouse - Designed for Windows PC with USB Port - Simple Plug & Play Mouse and Keyboard Combo - (Black),22.99,4.6,379
44,B07YF98LDJ,"Wireless Keyboard Mouse Combo, Cimetech Compact Full Size Wireless Keyboard and Mouse Set 2.4G Ultra-Thin Sleek Design for Windows, Computer, Desktop, PC, Notebook, Laptop - Silver",34.99,4.4,10062
45,B07RQVB3HQ,"Manhattan Black Wired Keyboard (5 ft. USB-A Cable) with 104-keys, Foldable Stands, and LED Indicator Lights - Compatible for Windows",11.57,4.3,1224
46,B07YY7VLTV,"Wireless Keyboard and Mouse Combo, Jelly Comb 2.4G Slim Ergonomic Quiet Keyboard and Mouse with Round Keys for Windows, Laptop, PC, Notebook-Black and Gray",29.99,4.5,5749
47,B08LM97XWX,"Multi-Device Bluetooth Keyboard with Touchpad - Jelly Comb Wireless TV Keyboard with Multi-Touch Big Size Trackpad, Support 3 Devices for Smart TV, Laptop, Mac, iPad, PC, Android - K071",36.99,4.3,79
48,B07FKMM3GX,"VictSing USB Keyboard, Computer Keyboard Wired, Backlight Gaming Keyboard with Metal-Panel, Quiet Keyboard for PC/Mac Game, Office Typing, Black",21.99,4.4,4051
49,B07ZGDD6B1,SteelSeries Apex 5 Hybrid Mechanical Gaming Keyboard – Per-Key RGB Illumination – Aircraft Grade Aluminum Alloy Frame – OLED Smart Display (Hybrid Blue Switch),99.99,4.8,7409
50,B075GZVD4T,"Perixx Periboard-512 Ergonomic Split Keyboard - Natural Ergonomic Design - Black - Bulky Size 19.09""x9.29""x1.73"", US English Layout (11525)",44.99,4.4,5468
51,B08BZ8CD6V,"Wireless Keyboard and Mouse Combo, 2.4GHz Ergonomic Computer Keyboard and Wireless Mouse,USB Unifying Receiver,for PC Computer Laptop Windows,Quiet and Ergonomic,White",22.99,4.3,323
52,B08FMQ5Y39,"Macally Mac Wired Keyboard with Wrist Rest - Natural and Comfortable Typing - Ergonomic Split Keyboard for Mac with 110 Keys, 21 OSX Shortcuts, and 5ft USB-A Cable - Mac USB Keyboard Ergonomic Design",49.99,5.0,2
53,B08543L2CJ,"PICTEK Metal Gaming Keyboard, LED Wired Rainbow Keyboard, USB Backlit Membrane Keyboard with Wrist Rest, 19 Anti-ghosting Keys, 12 Multimedia Shortcuts, Spill-Resistant for Windows PC Gamer-Black",23.99,4.7,1687
54,B087HFVLRK,X9 Performance Wireless Ergonomic Keyboard with Wrist Rest - Comfort meets Productivity - USB Wireless Keyboard with 104 Keys and 2 Tone Shiny Matte Finish - 2.4G RF PC Keyboard for Laptop or Computer,26.99,4.3,262
55,B08J6FC3F3,Corsair K60 RGB Pro Low Profile Mechanical Gaming Keyboard - Cherry MX Low Profile Speed Mechanical Keyswitches – Slim and Streamlined Durable Aluminum Frame - Customizable Per-Key RGB Backlighting,102.99,4.6,167
56,B004N627KS,Logitech Wireless Keyboard K270 with Long-Range Wireless,,4.5,2564
57,B01AROOL12,Logitech MK235 Wireless Keyboard and Mouse,,4.4,4319
58,B08JM45NSM,Microsoft Designer Compact Keyboard - Glacier (21Y-00031),58.95,4.5,56
59,B08DNL4XFR,"Gaming Keyboard and Mouse,3 in 1 Gaming Set,Blue LED Backlit Wired Gaming Keyboard,RGB Backlit 12000 DPI Lightweight Gaming Mouse with Honeycomb Shell,Large Mouse Pad for PC Game(Macaron Green)",65.99,4.6,634
60,B08DKNX4YT,"PICTEK RGB Gaming Keyboard, 8 Individual Multimedia Keys, Wired Adjustable Backlight Keyboard with Non-Fading Keycaps, 25 Keys Anti-ghosting, Splash-Proof, Ideal for Windows Mac Gaming",27.99,4.6,236
61,B087F5QDS5,Mafiti Computer Office Keyboard Wired USB 104 Keys Full Size White Backlit Compatible PC Mac Laptop Desktop Windows,14.99,4.2,385
62,B07XRNMLJF,"Wireless Keyboard and Mouse Combo, Jelly Comb KUT027 Wireless Keyboard and Mouse 2.4GHz Full Size Ultra-Thin Keyboard Mouse for Computer, Laptop, PC, Desktop, Windows 7, 8, 10 -Black and Sliver",20.99,4.6,1612
63,B016Y2BVKA,Havit Wired Gaming Keyboard Mouse Combo LED Rainbow Backlit Gaming Keyboard RGB Gaming Mouse Ergonomic Wrist Rest 104 Keys Keyboard Mouse 4800 DPI for Windows & Mac PC Gamers (Black),25.49,4.5,12511
64,B0871PQ5YY,Macally 2.4G USB Wireless Keyboard for Laptop or Computer - Full Size Keyboard with Numeric Keypad & 13 Shortcut Keys - for Windows Devices with USB Port - Simple & Easy to Use PC Keyboard Wireless,19.99,4.6,1179
65,B084QGWFTH,X9 Performance Slim 2.4G USB Wireless Keyboard for Laptop or Computer - Designed for Windows - 110 Key Layout with Numeric Keypad and 17 Shortcut Keys - Rechargeable PC Keyboard Wireless - Aluminum,31.99,4.5,252
66,B07YF98LDJ,"Wireless Keyboard Mouse Combo, Cimetech Compact Full Size Wireless Keyboard and Mouse Set 2.4G Ultra-Thin Sleek Design for Windows, Computer, Desktop, PC, Notebook, Laptop - Silver",34.99,4.4,10062
