;Unnamed: 0;name;seller;seller_link;freq_bought;freq_bought_link;link_to_all_reviews;other display features;display resolution;wireless type;product dimensions;battery cell type;display size;scanner resolution;manufacturer;date first available;domestic shipping;gps;department;item dimensions  lxwxh;part number;manufacturer part number;battery power rating;os;item weight;gpu;operating system;color;rear webcam resolution;item package quantity;computer memory type;phone standy time (with data);screen resolution;ASIN;additional features;included components;ram;flash memory size;ringtones;rating;processor count;international shipping;is discontinued by manufacturer;standing screen display size;memory speed;device interface - primary;display technology;audio jack;brand;processor brand;package dimensions;colour;batteries;item model number;wireless communication technologies;size;language;warranty description;max screen resolution;average battery life (in hours);connectivity technologies;voltage;other camera features;series;power source;phone talk time;best sellers rank;graphics coprocessor;form factor
923;923;Samsung Galaxy Prime 16GB J327 J3 AT&T T-Mobile Unlocked Smartphone - Silver (Renewed);;;Galaxy J3 Emerge Case,Galaxy J3 Prime Case,Galaxy J3 Luna Pro Case,J3 Eclipse Case,Galaxy Express…;/Eclipse-Express-Shockproof-Samsung-Defender/dp/B01MT5AYD2/ref=pd_bxgy_2/135-8856323-6707832?_encoding=UTF8&pd_rd_i=B01MT5AYD2&pd_rd_r=4f493b2b-c59a-4d06-95f4-f0ba32719cbb&pd_rd_w=H4LyH&pd_rd_wg=qpB0X&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=FDG0GW2DHJ3AHGH0WYHP&psc=1&refRID=FDG0GW2DHJ3AHGH0WYHP;https://www.amazon.com//Samsung-Galaxy-T-Mobile-Unlocked-Smartphone/product-reviews/B07GW1DXFP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;Wireless;;;5.5 x 2.8 x 0.5 inches;;;;Samsung;August 28, 2018;;;;;;;;Android;3.84 ounces;;;;;;;;;B07GW1DXFP;;;;;;4.1;;;No;;;Buttons;;3.5 mm;;;;Silver;1 Lithium ion batteries required.;SM-J327A-cr;Cellular, Wi-Fi;;;;;;Wi-Fi;;Rear, Front;;;;#40,620 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #554 in Unlocked Cell Phones;;Smartphone
924;924;"Samsung Galaxy S8 ACTIVE (G892A) Military-Grade Durable Smartphone w/ 5.8"" Shatter-Resistant Glass, Meteor Gray";;;;;https://www.amazon.com//Galaxy-S8-Active-SM-G892A-Unlocked/product-reviews/B074V251PS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;Wireless;;;5.98 x 0.39 x 2.95 inches;;;;Samsung;August 17, 2017;;GPS,Glonass;;;;;;Android 7.0;7.3 ounces;;;;;;;5 days;;B074V251PS;;;;;;3.7;;;No;;;Touchscreen;Super AMOLED;3.5 mm;;;;;1 Lithium ion batteries required.;SM-G892AZAAATT;Cellular;;;;;;;;Front;;;32 Hours;#72,815 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #979 in Unlocked Cell Phones;;Bar
925;925;Indigi DualCore 4G LTE GSM Unlocked Smart Phone 7-inch Capacitive 2Sim Android Pie - Unlocked (Black);indigi;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1Z1URWO0A0PF7;;;;Wireless;;;;;;;Indigi;July 14, 2015;;;;;;;;Android;2 pounds;;;;;;;;;B011M6IIZE;Dual-sim, Dual-camera, Dual-core-processor, Expandable-memory, Smartphone;;;;;0.0;;;No;;;Touchscreen;LCD;;;;;Black;;;Cellular;;;;;;;;;;;;#499,535 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #7,263 in Unlocked Cell Phones;;Smartphone
926;926;Tracfone - ZTE Z665 Valet Android Prepaid Phone;;;;;https://www.amazon.com//Tracfone-Valet-Android-Prepaid-Phone/product-reviews/B00FM7R1WG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;Wireless;;;2.46 x 0.48 x 4.65 inches;;;;ZTE;October 3, 2013;;;;;;;;Android;4.6 ounces;;;;;;;;;B00FM7R1WG;;Video Recorder, Camera;;;;3.5;;;No;;;Touchscreen;;;;;;;1 Lithium ion batteries required.;;Bluetooth, Wi-Fi;;;;;;Bluetooth, Wi-Fi;;3 MP;;;;#191,901 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #738 in Carrier Cell Phones;;Smartphone
927;927;Total Wireless Samsung Galaxy A21 4G LTE Prepaid Smartphone (Locked) - Black - 32GB - Sim Card Included - CDMA;;;;;;Wireless;;;0.3 x 3 x 6.9 inches;;;;total wireless;September 1, 2020;Item can be shipped within U.S.;True;;;;;;Android;1.32 pounds;;;;;;;;;B08J5N8FH8;;;;;;0.0;;This item can be shipped to select countries outside of the U.S. Learn More;;;;Touchscreen;LCD;;;;;Black;1 Lithium ion batteries required. (included);TWSAS215DCP;Cellular, Bluetooth, Wi-Fi;;;;;;Bluetooth, Wi-Fi;;Rear, Front;;;;#69,112 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #244 in Carrier Cell Phones;;Smartphone
928;928;TracFone LG 306G No Contract Phone - Retail Packaging - Blue;;;;;https://www.amazon.com//TracFone-LG-306G-Contract-Phone/product-reviews/B00JG3M47E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;Wireless;;;2.47 x 0.47 x 4.08 inches;;;320 x 240;TracFone;April 3, 2014;;;Alternate Channels;;;;;Android OS;4 ounces;;;;;;;408 hours;;B00JG3M47E;;;;;;3.8;;;Yes;;;Touchscreen;;;;;;Black;1 Lithium Polymer batteries required. (included);TFLG306GTMP4;Bluetooth, Wi-Fi;;;;;;Wi-Fi;;2 MP Camera / Video Recorder;;;3 Hours;#66,917 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #228 in Carrier Cell Phones;;Bar
929;929;Smart M4 Wristbands Men Women Waterproof Sports Bracelet Phone Bluetooth Heart Rate Monitor Fitness Wristband for Android iOS (Red);Alo01;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A100RHCQ6KR98L&isAmazonFulfilled=1;;;;Wireless;;;;;;;JAYSSS;December 2, 2019;;;;;;;;IOS 8;1.41 ounces;;;;;;;;;B0827FDBDC;;;;;;0.0;;;;;;Touchscreen;LCD;;;;5.08 x 3.11 x 1.18 inches;Red;1 Lithium ion batteries required. (included);;Bluetooth;;;;;;Bluetooth;;;;;;#557,982 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #8,002 in Unlocked Cell Phones;;Smartphone
930;930;HTC One M7 Unlocked Cellphone, 32GB, Silver;Sell Phone Basement LLC;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AH629OM7P7EXL&isAmazonFulfilled=1;KATIN HTC ONE M7 Screen Protector - [2-Pack] 9H Hardness Tempered Glass For HTC One M7 Bubble free;https://www.amazon.com/KATIN-HTC-M7-Screen-Protector/dp/B06XS2HQ57/ref=pd_bxgy_2/139-5827337-2670451?_encoding=UTF8&pd_rd_i=B06XS2HQ57&pd_rd_r=33efc240-5e3b-4d54-964d-0d3f4822e1f5&pd_rd_w=Q9dFy&pd_rd_wg=N4ILw&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=E8ZFAW1KWGDZPHGFG7V5&psc=1&refRID=E8ZFAW1KWGDZPHGFG7V5;https://www.amazon.com//HTC-One-M7-Unlocked-Cellphone/product-reviews/B00BJL133C/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;Wireless;1080 x 1920 pixels;;2.69 x 0.37 x 5.41 inches;;;1920 x 1080;HTC;October 18, 2013;;;N/a;;;;;Android;5 ounces;;;;;;;;;B00BJL133C;Quad-band, Dual-camera, Lte, Smartphone;Video Recorder, Camera;32 GB;;;3.4;;;Yes;;;Touchscreen;LED;;;;;Silver;1 Lithium ion batteries required.;One M7;Cellular, Wi-Fi;;;;;;Wi-Fi;;4 MP;;;;#91,008 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #1,256 in Unlocked Cell Phones;;Bar
931;931;T-MOBILE REVVL 2 32GB BLK Phone (Black);;;;;https://www.amazon.com//T-MOBILE-REVVL-32GB-Phone-Black/product-reviews/B07LCVDY78/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;Wireless;;;;;;720 x 1440;T-MOBILE;December 14, 2018;;;;;;;;Android 8.1;12.8 ounces;;;;;;;;;B07LCVDY78;;;;;;3.7;;;No;;;;LED;;;;6.2 x 3.5 x 2.4 inches;BLACK;1 Lithium ion batteries required.;;Cellular, Bluetooth, Wi-Fi;;;;;;Bluetooth, Wi-Fi;;Rear;;;;#142,719 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #522 in Carrier Cell Phones;;
932;932;"Xiaomi Redmi 9 64GB, 4GB RAM, 6.53"" Full HD + AI Quad Camera, LTE Factory Unlocked Smartphone - International Version (Carbon Grey)";Cell Universal;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A322M6JJ6G2JC7&isAmazonFulfilled=1;QHOHQ Case for Xiaomi Redmi 9 with 2 Pack Screen Protector, Transparent Soft Silicone TPU Cover…;https://www.amazon.com/QHOHQ-Xiaomi-Redmi-Protector-Transparent/dp/B088F2ML5F/ref=pd_bxgy_2/145-9475071-3692937?_encoding=UTF8&pd_rd_i=B088F2ML5F&pd_rd_r=31494428-004f-4bb8-a716-f7f57df2390e&pd_rd_w=QPFg0&pd_rd_wg=bPMJs&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=7C5J7F9E9NC6VZ8S6JGA&psc=1&refRID=7C5J7F9E9NC6VZ8S6JGA;https://www.amazon.com//Xiaomi-Camera-Factory-Unlocked-Smartphone/product-reviews/B08B3QSVM6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;Wireless;;;7.87 x 7.87 x 7.87 inches;;;2340 x 1080;Xiaomi;July 7, 2020;;;;;;;;Android;7 ounces;;;;;;;;;B08B3QSVM6;;1;4 GB;;;4.6;;;;;;Touchscreen;;;;;;Carbon Grey;1 Lithium Polymer batteries required.;6941059645856;Cellular, Wi-Fi;;;;;;Wi-Fi;;Rear, Front;;;30 Hours;#10,476 in Cell Phones & Accessories ( See Top 100 in Cell Phones & Accessories ) #130 in Unlocked Cell Phones;;Smartphone
