,ASIN,title,price,rating,review_count
30,B01FM8H22S,"Dell KM636 Wireless Keyboard & Mouse Combo (5WH32), Black",33.75,4.5,4238
31,B075WW7V6W,"VicTsing Mouse Pad with Stitched Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for Laptop, Computer & PC, 10.2×8.3×0.08 inches, Black",7.99,4.6,41045
32,B07SCY7H3W,"Wireless Mouse, RATEL 2.4G Wireless Ergonomic Mouse Computer Mouse Laptop Mouse USB Mouse 6 Buttons with Nano Receiver 3 Adjustable DPI Levels Cordless Wireless Mice for Windows, Mac",9.99,4.6,8444
33,B08K93SZM1,"Wireless Computer Mouse,2.4G Wireless Optical Mouse with USB Receiver, Easy Click for Office and Home Mice,3 Adjustable DPI for Notebook, PC, Laptop, Computer, MacBook(Dark Blue)",7.99,4.7,40
34,B07YPBQSCK,"Razer Basilisk X HyperSpeed Wireless Gaming Mouse: Bluetooth & Wireless Compatible, 16K DPI Optical Sensor, 6 Programmable Buttons, 450 Hr Battery, Classic Black",48.99,4.6,12173
35,B0043T7FXE,"Logitech M570 Wireless Trackball Mouse – Ergonomic Design with Sculpted Right-Hand Shape, Compatible with Apple Mac and Microsoft Windows Computers, USB Unifying Receiver, Dark Gray",,4.6,38635
36,B071YZJ1G1,"Logitech MX Master 2S Wireless Mouse – Use on Any Surface, Hyper-fast Scrolling, Ergonomic Shape, Rechargeable, Control up to 3 Apple Mac and Windows Computers (Bluetooth or USB), Graphite",59.99,4.6,8539
37,B073CDQ1Z4,"VicTsing 2.4G Slim Wireless Mouse with Nano Receiver, Less Noise, Portable Mobile Optical Mice for Chromebook, Notebook, PC, Laptop, Computer, MacBook - Black",11.99,4.6,17880
38,B01JPOLKDW,"Logitech M330 Silent Plus Wireless Mouse – Enjoy Same Click Feel with 90% Less Click Noise, 2 Year Battery Life, Ergonomic Right-Hand Shape for Computers and Laptops, USB Unifying Receiver, Black",,4.7,9090
39,B087Z6LSHW,Logitech M720 Wireless Triathlon Mouse with Bluetooth for PC with Hyper-Fast Scrolling and USB Unifying Receiver for Computer and Laptop - Black,,4.6,5971
40,B06X3W3TM4,Amazon Basics Gel Computer Mouse Pad with Wrist Support Rest,,4.6,13198
41,B07LH6L2W6,"BOSOBO Mouse Pad, Round Mandala Mouse Mat, Cute Mouse Pad with Design, Non-Slip Rubber Base Mousepad with Stitched Edge, Waterproof Office Mouse Pad, Small Size 7.9 x 7.9 x 0.1 Inch, Mandala Colour",5.99,4.8,9047
42,B08HV88KQX,"Wireless Mouse, RATEL 2.4G Ergonomic Computer Mouse for Laptop with USB Receiver, Portable Kid Cordless Mice with 3 Adjustable DPI Levels for Windows, PC, Chromebook, MacBook, Linux(Pink",9.99,4.5,463
43,B08F9CM5QQ,"NexiGo Wireless Mouse, Ergonomic Design Noiseless Computer Mouse with Hidden Nano Receiver Portable 1600 DPI Mice for Windows, OS System, Mac, PC, Laptop, Computer (Green)",6.99,4.7,76
44,B01N7RGV3H,"Wireless Mouse for Laptop, Inphic 2.4G Rechargeable Silent Computer Mouse,1600 DPI Ultra Thin Optical Portable USB Mini Mouse, Cordless Mice for Laptop,PC,MacBook,Mac, Black",10.99,4.5,9263
45,B08K93SZM1,"Wireless Computer Mouse,2.4G Wireless Optical Mouse with USB Receiver, Easy Click for Office and Home Mice,3 Adjustable DPI for Notebook, PC, Laptop, Computer, MacBook(Dark Blue)",7.99,4.7,40
46,B084RPZD6T,Razer Viper Mini Ultralight Gaming Mouse: Fastest Gaming Switches - 8500 DPI Optical Sensor - Chroma RGB Underglow Lighting - 6 Programmable Buttons - Drag-Free Cord - Classic Black,30.97,4.7,13662
47,B00O3TIZXS,Logitech Wireless Mouse M185 (Swift Grey),16.99,4.7,3389
48,B072FG8LBV,Microsoft Arc Mouse (ELG-00001) Black,,4.6,8523
49,B07ZHFCM43,"Bluetooth Mouse, Inphic Rechargeable Wireless Mouse Multi-Device (Tri-Mode:BT 5.0/3.0+2.4Ghz) with Silent , 3 DPI Adjustment, Ergonomic Optical Portable Mouse for Laptop Android Windows Mac OS, Grey",13.99,4.3,1942
50,B07X5GHZYJ,"Logitech Pebble M350 Wireless Mouse with Bluetooth or USB - Silent, Slim Computer Mouse with Quiet Click for iPad, Laptop, Notebook, PC and Mac - Pink Rose",27.0,4.8,6325
51,B08LB7XZT7,"Wireless Mouse, RATEL 2.4G Ergonomic Computer Mouse for Laptop with USB Receiver, Portable Cordless Mice with 3 Adjustable DPI Levels for Windows, PC, Chromebook, MacBook, Linux(Grass Green",10.99,4.5,463
52,B00849TIPW,HP X3000 Wireless Mouse,13.89,4.7,2012
53,B07XB52RLR,"Bluetooth Ergonomic Mouse, Jelly Comb Advanced Vertical Wireless Bluetooth Mouse 2.4GHz Optical Vertical Mice, Easy Switch Between 2 Devices with Bluetooth and USB Connection MV045-Black",21.99,4.5,3638
54,B07T8HFPDM,"Wireless Computer Mouse, Cimetech 2.4G Slim Cordless Mouse Less Noise for Laptop Ergonomic Optical with Nano Receiver USB Mouse for Laptop, Deskbtop, MacBook (BAT Black)",7.99,4.6,11089
55,B07SCY7H3W,"Wireless Mouse, RATEL 2.4G Wireless Ergonomic Mouse Computer Mouse Laptop Mouse USB Mouse 6 Buttons with Nano Receiver 3 Adjustable DPI Levels Cordless Wireless Mice for Windows, Mac",9.99,4.6,8444
56,B07ZSYNSSG,"ITNRSIIET Marble Round Mouse Pad, Pink Marble Customized Premium-Textured Mouse Mat,Washable Mousepads with Lycra Cloth, Non-Slip Rubber Base Small Mousepad, 7.87×7.87×0.12 inches (Pink Marble)",5.98,4.7,5740
57,B08HRJDB1P,"USB Optical Wired Computer Mouse with Easy Click for Office and Home, 6 Adjustable DPI Levels, Premium and Portable,7-Buttons Computer Mice for Windows PC, Laptop, Notebook, MacBook - Black",10.98,4.8,41
58,B07N1CMC4P,"Bluetooth Mouse, Jelly Comb MS003 Slim Dual Mode(Bluetooth 4.0 + USB) 2.4GHz Wireless Bluetooth Mouse for Laptop, iPad, MacBook, PC- For Windows 8.0/ MacOS 10.10/ iPad OS 13/ Android 4.3 or Above",12.99,4.6,5776
59,B01N7RGV3H,"Wireless Mouse for Laptop, Inphic 2.4G Rechargeable Silent Computer Mouse,1600 DPI Ultra Thin Optical Portable USB Mini Mouse, Cordless Mice for Laptop,PC,MacBook,Mac, Black",10.99,4.5,9263
60,B0148NPIQK,"Logitech M535 Bluetooth Mouse Compact Wireless Mouse with 10 Month Battery Life Works with Any Bluetooth Enabled Computer, Laptop or Tablet Running Windows, Mac OS, Chrome or Android, Gray - Black",29.92,4.6,7499
61,B07Y65DF83,"Jelly Comb Type-c Wireless Mouse, USB C Computer Silent Mouse with 3 DPI:1000-1600-2400 for Mac,Laptop,PC,Android,Notebook-MS048 Black and Silver",9.99,4.6,6970
62,B07DVCGX7G,"MROCO Ergonomic Mouse Pad with Wrist Support Gel Mouse Pad with Wrist Rest, Comfortable Computer Mouse Pad for Laptop, Pain Relief Mousepad with Non-slip PU Base for Office & Home, 9.4 x 8.1 in, Black",9.99,4.7,5665
63,B085HGV3N8,"ITNRSIIET Mouse Pad, Ergonomic Mouse Pad with Gel Wrist Rest Support, Gaming Mouse Pad with Lycra Cloth, Non-Slip PU Base for Computer, Laptop, PC, Home, Office & Travel, Black",7.98,4.7,5721
64,B08HV88KQX,"Wireless Mouse, RATEL 2.4G Ergonomic Computer Mouse for Laptop with USB Receiver, Portable Kid Cordless Mice with 3 Adjustable DPI Levels for Windows, PC, Chromebook, MacBook, Linux(Pink",9.99,4.5,463
65,B08K94CGX6,"Wireless Mouse,Upgraded Durable Slim Wireless Mouse Portable Mobile Optical Wireless Mouse with Noiseless Click,2.4G Silent Ergonomic Wireless Mice with Nano Receiver for Notebook,Laptop,PC,Blue",9.97,4.5,222
66,B01N7RGV3H,"Wireless Mouse for Laptop, Inphic 2.4G Rechargeable Silent Computer Mouse,1600 DPI Ultra Thin Optical Portable USB Mini Mouse, Cordless Mice for Laptop,PC,MacBook,Mac, Black",10.99,4.5,9263
