,name,seller,seller_link,freq_bought,freq_bought_link,link_to_all_reviews,other display features,stromversorgung und steckertyp,stil,modellnummer,item dimensions  lxwxh,im angebot von amazon.de seit,ASIN,hard drive interface,processor brand,anzahl usb 3.0 schnittstellen,artikelgewicht,date first available,antriebsart,ausdehnung,average battery life (in hours),brand,number of usb 3.0 ports,auslaufartikel (produktion durch hersteller eingestellt),bearbeitungsart,processor count,voltage,herstellernummer,included components,batterien notwendig,hersteller,optischer speicher,sprache,item model number,anzahl der leuchtmittel,spannung,durchschnittliche batterielaufzeit,batterien erforderlich,höhe,länge,steckertyp,stromverbrauch,item weight,durchschnittliche kundenbewertung,gesamter recycling-anteil,produktabmessungen,computer memory type,feinheit,marke,form,color,anzeige maximalgewicht,artikelabmessungen l x b x h,additional features,versand im inland,besondere merkmale,größe,farbe,amazon bestseller-rang,national stock number,anzahl der packungen,standing screen display size,number of usb 2.0 ports,operating system,is discontinued by manufacturer,material,anzahl usb 2.0 schnittstellen,power source,wireless type,display-größe,rating,festplatteninterface,volt,import-angabe,lampentyp,package dimensions,optical drive type,graphics card ram size,color name,speichergröße grafikkarte,bildschirmauflösung,audio sensitivity,special features,breite,internationaler versand,stilrichtung,wlan typ,kompatible geräte,battery description,speicher-art,batterien,batteries,memory speed,hardware plattform,batterien inbegriffen,manufacturer,hard drive rotational speed,hardware platform,betriebssystem,connectivity technologies,kategorie,audio-ausgangsanschlüsse (#),produktanzahl,series,farbbildschirm,perlenform,blattgröße,brand name,screen resolution,schirmmaterial,chipset brand,rear webcam resolution,modell/serie,altersempfehlung des herstellers,gewicht,best sellers rank,graphics coprocessor,artikelnummer,verpackungsabmessungen,card description,flash memory size,product dimensions,leuchtrichtung,max screen resolution
624,"Kabelloser USB-WiFi-Adapter für PC – 802.11AC 1200 Mbps Dual 5Dbi Antennen 5G/2.4G WiFi USB für PC Desktop Laptop Mac Windows 10/8/8.1/7/Vista/XP/Mac10.6/10.13, WiFi USB Computer Netzwerkadapter",nineplus99,https://www.amazon.com/-/de/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A36O4AB37CUGGA&isAmazonFulfilled=1,,,https://www.amazon.com//-/de/Wireless-USB-WiFi-Adapter-PC/product-reviews/B07V4R3QHW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,wirelss wifi adapter ac1200,,"Juli 12, 2019",B07V4R3QHW,,,,50 g,,,,,,,,,,,,,,Nineplus,,,,,,,,,,,,,"/*
* Fix for UDP-1061. Average customer reviews has a small extra line on hover
* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40
*/
.noUnderline a:hover {
text-decoration: none;
} 4,4 von 5 Sternen 7.056 Sternebewertungen P.when('A', 'ready').execute(function(A) {
A.declarative('acrLink-click-metrics', 'click', { ""allowLinkDefault"" : true }, function(event){
if(window.ue) {
ue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);
}
});
}); P.when('A', 'cf').execute(function(A) {
A.declarative('acrStarsLink-click-metrics', 'click', { ""allowLinkDefault"" : true },  function(event){
if(window.ue) {
ue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);
}
});
}); 4,4 von 5 Sternen",,2.6 x 0.82 x 0.39 cm,,,,,,,,,,,,,Nr. 7 in WLAN USB-Adapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,"Verstellbarer Laptop-Ständer, Aluminium-Computer-Erhöhung, ergonomischer, tragbarer Laptop-Ständer für den Schreibtisch, Multi-Winkel mit Hitze-Entlüftungshalter, kompatibel mit 10-17-Zoll-Notebook-Computern (Silber)",PANNON INC DIRECT,https://www.amazon.com/-/de/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A28EBWA4UDBI0V&isAmazonFulfilled=1,,,https://www.amazon.com//-/de/Adjustable-Ergonomic-Multi-Angle-Heat-Vent-Compatible/product-reviews/B08CV2NB46/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,LAPSTAND-002-S-Silver,,"Juli 13, 2020",B08CV2NB46,,,,771 g,,,,,,,,,,,LAPSTAND-002-S-Silver,,,Pannon,,,,,,,,,,,,,"/*
* Fix for UDP-1061. Average customer reviews has a small extra line on hover
* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40
*/
.noUnderline a:hover {
text-decoration: none;
} 4,6 von 5 Sternen 362 Sternebewertungen P.when('A', 'ready').execute(function(A) {
A.declarative('acrLink-click-metrics', 'click', { ""allowLinkDefault"" : true }, function(event){
if(window.ue) {
ue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);
}
});
}); P.when('A', 'cf').execute(function(A) {
A.declarative('acrStarsLink-click-metrics', 'click', { ""allowLinkDefault"" : true },  function(event){
if(window.ue) {
ue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);
}
});
}); 4,6 von 5 Sternen",,,,,Pannon,,,,,,,,,Silber,"Nr. 4,123 in Bürobedarf & Schreibwaren ( Siehe Top 100 in Bürobedarf & Schreibwaren ) Nr. 52 in Notebookständer Nr. 86 in Wagen für Arbeitszimmer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,11.42 x 9.49 x 2.24 cm,,,,,
626,"Bocconi 14,1 Zoll Windows 10 Laptop, FHD 1920 x 1080 IPS-Display, Intel Pentium N5000 8GB RAM 256GB SSD Ultra Dünn und Leicht Notebook, USB 3.0, HDMI, Typ-C, mit Fingerabdruck-Tastatur-Licht",WAKST Store,https://www.amazon.com/-/de/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AMLRKO81Z68SE&isAmazonFulfilled=1,,,https://www.amazon.com//-/de/14-1inch-Laptop%EF%BC%8CIntel-Display%EF%BC%8C-Notebook-Fingerprint/product-reviews/B08G8P7N6F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,T6 PRO,,"Juni 12, 2020",B08G8P7N6F,,Intel,,1.35 kg,,DC,,,,,,,4,,,,,,,,,,,8 Stunden,,,,,,,"/*
* Fix for UDP-1061. Average customer reviews has a small extra line on hover
* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40
*/
.noUnderline a:hover {
text-decoration: none;
} 3,9 von 5 Sternen 14 Sternebewertungen P.when('A', 'ready').execute(function(A) {
A.declarative('acrLink-click-metrics', 'click', { ""allowLinkDefault"" : true }, function(event){
if(window.ue) {
ue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);
}
});
}); P.when('A', 'cf').execute(function(A) {
A.declarative('acrStarsLink-click-metrics', 'click', { ""allowLinkDefault"" : true },  function(event){
if(window.ue) {
ue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);
}
});
}); 3,9 von 5 Sternen",,12.6 x 8.4 x 0.5 cm,,,WAKST,,,,12.6 x 8.4 x 0.5 Zoll,,,,,Grau,"Nr. 45,300 in Computer & Zubehör ( Siehe Top 100 in Computer & Zubehör ) Nr. 7,368 in Normale Laptop-Computer",,,,,,,,,,,14.1 Zoll,,ATA,,,,,,,,,1920x 1080 pixels,,,,,,"Bluetooth, 802.11bgn, 802.11ac",,,DDR3 SDRAM,1 Lithium-Ionen Batterien erforderlich (enthalten).,,2.2 GHz,PC,,,,,Windows 10,,,,,,,,,,,,Intel,,Notebook,,,,Intel® HD Graphics 600,,,Integrated,,,,1920x 1080 Pixels
627,"Pccooler Laptop-Kühlpad, Laptop-Kühler mit 5 leisen roten LED-Lüftern für 30,5 cm (12-17,3 Zoll) Laptop, Dual USB 2.0 Ports, tragbarer 6 Winkel verstellbarer Laptop-Ständer für Gaming Laptop (PC-R5)",Pccooler,https://www.amazon.com/-/de/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A34UXG42R582TP&isAmazonFulfilled=1,,,https://www.amazon.com//-/de/Pccooler-Cooler-Portable-Adjustable-PC-R5/product-reviews/B07K2QPYMY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,PC-R5,,"November 16, 2018",B07K2QPYMY,,,,948 g,,,,,,,Nein,,,,,,,PCCOOLER,,,,,,,,,,,,,"/*
* Fix for UDP-1061. Average customer reviews has a small extra line on hover
* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40
*/
.noUnderline a:hover {
text-decoration: none;
} 4,5 von 5 Sternen 2.755 Sternebewertungen P.when('A', 'ready').execute(function(A) {
A.declarative('acrLink-click-metrics', 'click', { ""allowLinkDefault"" : true }, function(event){
if(window.ue) {
ue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);
}
});
}); P.when('A', 'cf').execute(function(A) {
A.declarative('acrStarsLink-click-metrics', 'click', { ""allowLinkDefault"" : true },  function(event){
if(window.ue) {
ue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);
}
});
}); 4,5 von 5 Sternen",,15.75 x 11.8 x 1.3 cm,,,,,,,,,,,,,Nr. 292 in Computer & Zubehör ( Siehe Top 100 in Computer & Zubehör ) Nr. 8 in Kühlpads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mädchen,,,,,,,,,,,,,,,,,,,,,,,
628,"HP - Envy x360 2-in-1 39,6 cm (15,6 Zoll) Touch-Screen Laptop - Intel Core i7 - 12 GB Speicher - 512 GB SSD + 32 GB Optane - Natursilber",,,,,https://www.amazon.com//-/de/HP-2-1-Touch-Screen-Natural/product-reviews/B0894YFTZM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,ENVY,,"Mai 25, 2020",B0894YFTZM,,Intel,,1.97 kg,,,,,,,,,4,,,,,,,,,,,13 Stunden,,,,,,,"/*
* Fix for UDP-1061. Average customer reviews has a small extra line on hover
* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40
*/
.noUnderline a:hover {
text-decoration: none;
} 4,4 von 5 Sternen 291 Sternebewertungen P.when('A', 'ready').execute(function(A) {
A.declarative('acrLink-click-metrics', 'click', { ""allowLinkDefault"" : true }, function(event){
if(window.ue) {
ue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);
}
});
}); P.when('A', 'cf').execute(function(A) {
A.declarative('acrStarsLink-click-metrics', 'click', { ""allowLinkDefault"" : true },  function(event){
if(window.ue) {
ue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);
}
});
}); 4,4 von 5 Sternen",,14.1 x 9.1 x 0.7 cm,,,HP,,,,14.1 x 9.1 x 0.7 Zoll,,,,,Silber,"Nr. 14,435 in Computer & Zubehör ( Siehe Top 100 in Computer & Zubehör ) Nr. 131 in 2-in-1-Laptop-Computer",,,,,,,,,,,15.6 Zoll,,PCIE x 4,,,,,,,,,,,,,,,,,,DDR4 SDRAM,1 Lithium-Ionen Batterien erforderlich (enthalten).,,,PC,,,,,Windows 10,,,,,,,,,,,,Intel,,15M-ED0023DX,,,,Intel Iris Plus Graphics,,,,512 GB,,,1920 x 1080 Pixels
629,"Dell Inspiron 17 3793, i3793-5841BLK-PUS, Intel Core i5-1035G1, 17,3 Zoll FHD (1920 x 1080), 8 GB x 1 DDR4 2666 MHz, 1 TB 5400 U/min, Tray Load DVD-Laufwerk",PChome-1,https://www.amazon.com/-/de/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1W7BTWT18WZMR&isAmazonFulfilled=1,"VicTsing MM057 Optische Maus, 2,4 G, kabellos, tragbar, mit USB-Empfänger",https://www.amazon.com/-/de/dp/B013WC0P2A/ref=pd_bxgy_2/134-6145686-6592566?_encoding=UTF8&pd_rd_i=B013WC0P2A&pd_rd_r=d4a306f0-d247-42c5-b1f4-5781fc9916a1&pd_rd_w=tAnYE&pd_rd_wg=Du51o&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=JEAW5F8HSFC3EVXMW9XH&psc=1&refRID=JEAW5F8HSFC3EVXMW9XH,https://www.amazon.com//-/de/Dell-i3790-5104BLK-PUS-Generation-i5-10210U-17-3-Inch/product-reviews/B07TQ5CQ1H/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,i3793-5841BLK-PUS,,"September 2, 2019",B07TQ5CQ1H,,Intel,2,3.95 kg,,Batteriebetrieben,,,,,,,4,,,,,,DVD±RW,,,,,,,,,,,,"/*
* Fix for UDP-1061. Average customer reviews has a small extra line on hover
* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40
*/
.noUnderline a:hover {
text-decoration: none;
} 4,3 von 5 Sternen 105 Sternebewertungen P.when('A', 'ready').execute(function(A) {
A.declarative('acrLink-click-metrics', 'click', { ""allowLinkDefault"" : true }, function(event){
if(window.ue) {
ue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);
}
});
}); P.when('A', 'cf').execute(function(A) {
A.declarative('acrStarsLink-click-metrics', 'click', { ""allowLinkDefault"" : true },  function(event){
if(window.ue) {
ue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);
}
});
}); 4,3 von 5 Sternen",,10.99 x 16.35 x 0.98 cm,,,Dell,,,,10.99 x 16.35 x 0.98 Zoll,,,,,Schwarz,"Nr. 3,117 in Computer & Zubehör ( Siehe Top 100 in Computer & Zubehör ) Nr. 334 in Normale Laptop-Computer",,,,,,,,1,,,17.3 Zoll,,Serial ATA,,,,,,,,,,,,,,,802.11ac,,,DDR4 SDRAM,1 Lithium-Ionen Batterien erforderlich.,,2666 MHz,PC,,,5400 Umdrehungen pro Minute,,Windows 10 Home,,,,,,,,,,,,Intel,,Inspiron 17 3793,,,,Intel HD Graphics 620,,,Integrated,8 Unbekannt,,,1920x1080
630,"Voova Laptop-Umhängetasche 14-17,3 Zoll Upgrade Computer Messenger Bag",,,,,https://www.amazon.com//-/de/Voova-Shoulder-14-17-3-Computer-Messenger/product-reviews/B08CZRJSY9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,"HP 39,6 cm (15,6 Zoll) Touchscreen Laptop 256 GB SSD (8. Generation i5 8265U, 12 GB RAM, UHD 620 Grafik) Natur Silber",,,,,https://www.amazon.com//-/de/HP-Screen-i5-8265U-Graphics-Natural/product-reviews/B07YR735S1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,15-DY0013DX,,"Oktober 5, 2019",B07YR735S1,,Intel,2,1.7 kg,,Battery,,,,,,,4,,,,,,No Optical Drive,,,,,12.5 Stunden,,,,,,,"/*
* Fix for UDP-1061. Average customer reviews has a small extra line on hover
* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40
*/
.noUnderline a:hover {
text-decoration: none;
} 4,4 von 5 Sternen 50 Sternebewertungen P.when('A', 'ready').execute(function(A) {
A.declarative('acrLink-click-metrics', 'click', { ""allowLinkDefault"" : true }, function(event){
if(window.ue) {
ue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);
}
});
}); P.when('A', 'cf').execute(function(A) {
A.declarative('acrStarsLink-click-metrics', 'click', { ""allowLinkDefault"" : true },  function(event){
if(window.ue) {
ue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);
}
});
}); 4,4 von 5 Sternen",,14.1 x 0.71 x 9.53 cm,,,HP,,,,14.1 x 0.71 x 9.53 Zoll,,,,,Silber,"Nr. 22,170 in Computer & Zubehör ( Siehe Top 100 in Computer & Zubehör ) Nr. 3,202 in Normale Laptop-Computer",,,,,,,,,,,15.6 Zoll,,Solid State,,,,,,,,2 MB,1366 x 768,,,,,,802.11bgn,,,DDR4 SDRAM,1 Lithium-Polymer Batterien erforderlich (enthalten).,,1.6 GHz,PC,,,5400 Umdrehungen pro Minute,,Windows 10 Home,,,,,,,,,,,,Intel,,HP 15-inch Touchscreen 2-in-1 Laptop,,,,Intel,,,Integrated,256 Unbekannt,,,1366 x 768
632,"Portable Triple Screen Laptop Workstation External Monitor for Laptop USB C Monitor Compatible with 14""-17"" Mac PC HD 1080P IPS Dual Display - 13.3 inch",Eyoyo USA,https://www.amazon.com/-/de/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1BMOVQDL91XA2&isAmazonFulfilled=1,,,,,,,,,"Februar 1, 2021",B08VJ25DNR,,,,2.7 kg,,,,,,,,,,,,,,China OEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nr. 42,878 in Elektronik & Foto ( Siehe Top 100 in Elektronik & Foto ) Nr. 1,283 in Monitore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.73 x 11.81 x 3.15 cm,,,,,
633,Laptop Computers 14-Inch Windows-10 Notebook - WinBook Intel Celeron Processor 6GB RAM 64GB ROM HD IPS Display Dual Band WiFi Numeric Touchpad Removal Webcam HDMI (Grey),LapTab Factory,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1D7KOH7G477XD&isAmazonFulfilled=1,,,https://www.amazon.com//Laptop-Computers-14-Inch-Windows-10-Notebook/product-reviews/B08RNGZS1G/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,12.99 x 8.66 x 0.63 inches,,B08RNGZS1G,USB 3.0,Intel,,,"12M 30, 2020",,,,Winnovo,2,,,2,220 volts_of_direct_current,,,,,,,WinBook,,,,,,,,,4.27 pounds,,,,DDR3 SDRAM,,,,Gray,,,,,,,,,,,14 Inches,,Windows 10 S,,,,AC & Battery,"802.11bgn, 801.11ac",,4.5,,,,,,,,,,,,,,,,,,,,,1 Lithium Polymer batteries required. (included),,,,,,PC,,,,,,WinBook,,,,,1366*768 HD IPS,,Intel,,,,,"#4,917 in Computers & Accessories ( See Top 100 in Computers & Accessories ) #562 in Traditional Laptop Computers",Intel HD Graphics 500,,,"Intel HD Graphic 500, Integrated",6 GB,12.99 x 8.66 x 0.63 inches,,1366 x 768 Pixels
634,"Fusion5 14.1inch A90B+ Pro 64GB Windows 10 Laptop - 4GB RAM, 64GB Storage, Full HD IPS, Bluetooth, 2MP Webcam, Dual Band WiFi Laptop",LSElectronics,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AZKDH5LYQSZB0&isAmazonFulfilled=1,"VicTsing MM057 2.4G Wireless Portable Mobile Mouse Optical Mice with USB Receiver, 5 Adjustable DPI…",https://www.amazon.com/VicTsing-Wireless-Portable-Receiver-Adjustable/dp/B013WC0P2A/ref=pd_bxgy_2/144-7288320-2573300?_encoding=UTF8&pd_rd_i=B013WC0P2A&pd_rd_r=99b315b6-976d-4e7b-b3cd-fac0dd5db928&pd_rd_w=T7XMj&pd_rd_wg=vuFSX&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=PDNJSRF2WQ3R690QYRH5&psc=1&refRID=PDNJSRF2WQ3R690QYRH5,https://www.amazon.com//Fusion5-14-1inch-A90B-Windows-Laptop/product-reviews/B08GSRRKSR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,B08GSRRKSR,,,,,,,,,,,,,,,,,,,,,A90B+ PRO,,,,,,,,,2.84 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,1 Lithium Polymer batteries required. (included),,,,Fusion5,,,,,,,,,,,,,,,,,,,,#926 in Computers & Accessories ( See Top 100 in Computers & Accessories ) #95 in Traditional Laptop Computers,,,,,,12.68 x 8.5 x 0.55 inches,,
635,"Höhenverstellbarer 3-in-1 Laptop-Monitorständer, kompatibel mit 13 bis 17,3 Zoll Laptops, für 2 Monitore 28,6 bis 68,6 cm mit VESA, Monitor-Tischständer, Armerhöhung, Montageständer, Workstation (schwarz)",Magichold,https://www.amazon.com/-/de/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2ZE7RCWJ7A6KE&isAmazonFulfilled=1,"Sceptre 20 Zoll 1600x900 75Hz Ultra Dünn LED Monitor 2x HDMI VGA Eingebaute Lautsprecher, Maschine…",https://www.amazon.com/-/de/dp/B07743412C/ref=pd_bxgy_2/140-1537275-1763855?_encoding=UTF8&pd_rd_i=B07743412C&pd_rd_r=b99943ba-bfbb-44b6-baf2-8898eaff323e&pd_rd_w=hoh5O&pd_rd_wg=3cAAD&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=1H9B4BHPRT3AABKYC871&psc=1&refRID=1H9B4BHPRT3AABKYC871,https://www.amazon.com//-/de/Height-Adjustable-Rotating-Monitor-Workstation/product-reviews/B07QDK8XFY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,"April 7, 2019",B07QDK8XFY,,,,6.8 kg,,,,,,,,,,,Ol-3s black,,,MagicHold,,,,,,,,,,,,,"/*
* Fix for UDP-1061. Average customer reviews has a small extra line on hover
* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40
*/
.noUnderline a:hover {
text-decoration: none;
} 4,4 von 5 Sternen 49 Sternebewertungen P.when('A', 'ready').execute(function(A) {
A.declarative('acrLink-click-metrics', 'click', { ""allowLinkDefault"" : true }, function(event){
if(window.ue) {
ue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);
}
});
}); P.when('A', 'cf').execute(function(A) {
A.declarative('acrStarsLink-click-metrics', 'click', { ""allowLinkDefault"" : true },  function(event){
if(window.ue) {
ue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);
}
});
}); 4,4 von 5 Sternen",,23 x 16 x 7 cm,,,MagicHold,,,,,,,,,Black,"Nr. 29,312 in Bürobedarf & Schreibwaren ( Siehe Top 100 in Bürobedarf & Schreibwaren ) Nr. 458 in Monitorständer & -arme",,,,,,,Aluminiumlegierung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,"Bagsmart Laptop-Tasche, 39,6 cm (15,6 Zoll) Aktentasche, abschließbare Computer-Tasche für Männer und Frauen, Pink",SIRI US,https://www.amazon.com/-/de/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3CY0XF6LU3Z6X&isAmazonFulfilled=1,,,https://www.amazon.com//-/de/Laptop-BAGSMART-Briefcase-Lockable-Office/product-reviews/B08SWTTVZT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,B08SWTTVZT,,,,699 g,,,,,,,,,,,,,,BAGSMART,,,,,,,,,,,,,"/*
* Fix for UDP-1061. Average customer reviews has a small extra line on hover
* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40
*/
.noUnderline a:hover {
text-decoration: none;
} 4,7 von 5 Sternen 396 Sternebewertungen P.when('A', 'ready').execute(function(A) {
A.declarative('acrLink-click-metrics', 'click', { ""allowLinkDefault"" : true }, function(event){
if(window.ue) {
ue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);
}
});
}); P.when('A', 'cf').execute(function(A) {
A.declarative('acrStarsLink-click-metrics', 'click', { ""allowLinkDefault"" : true },  function(event){
if(window.ue) {
ue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);
}
});
}); 4,7 von 5 Sternen",,15.7 x 5.5 x 12 cm,,,,,,,,,,,,,Nr. 86 in Laptop-Aktentaschen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Womens,,,,,,,,,,,,,,,,,,,,,,,
637,"SHOPPINGALL SA-GM224U+D15 Doppel-Gasfeder, 2-in-1-Monitor- und Laptop-Halterung mit 2 Armen für 38,1 cm (15 - 32 Zoll) Monitore, Schreibtischklemme und Ösen im Lieferumfang enthalten",ShoppingAll Inc.,https://www.amazon.com/-/de/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3JXQFX75VMAWZ&isAmazonFulfilled=1,,,https://www.amazon.com//-/de/Adjustable-Monitor-Monitors-Grommet-Options/product-reviews/B07SC4DB6R/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,"Juni 7, 2019",B07SC4DB6R,,,,8.54 kg,,,,,,,Nein,,,,SA-GM224U+D15,,,SHOPPINGALL,,,,,,,,,,,,,"/*
* Fix for UDP-1061. Average customer reviews has a small extra line on hover
* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40
*/
.noUnderline a:hover {
text-decoration: none;
} 4,3 von 5 Sternen 93 Sternebewertungen P.when('A', 'ready').execute(function(A) {
A.declarative('acrLink-click-metrics', 'click', { ""allowLinkDefault"" : true }, function(event){
if(window.ue) {
ue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);
}
});
}); P.when('A', 'cf').execute(function(A) {
A.declarative('acrStarsLink-click-metrics', 'click', { ""allowLinkDefault"" : true },  function(event){
if(window.ue) {
ue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);
}
});
}); 4,3 von 5 Sternen",,30.91 x 9.84 x 5.79 cm,,,SHOPPINGALL,,,,,,,,,Silver,"Nr. 78,545 in Bürobedarf & Schreibwaren ( Siehe Top 100 in Bürobedarf & Schreibwaren ) Nr. 972 in Monitorständer & -arme",,,,,,,"Silver, Aluminum, Acrylonitrile butadiene styrene, Metal, Aluminum alloy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
