,ASIN,title,price,rating,review_count
28,B082TWSSTM,"Mpow Bluetooth Headphones, 60 Hours Playtime Wireless Headphones Over Ear with Microphone, Bluetooth 5.0, HiFi Stereo Sound, Protein Earpads, Wired Wireless Headset for Kids, Adults, Home Office, TV",19.99,4.6,6202
29,B0863TXGM3,"Sony WH-1000XM4 Wireless Industry Leading Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Black",348.0,4.7,11458
30,B08L5Z951F,"COOSII Bluetooth Headphones Wireless with Noise Cancelling Dual Microphone for Home Office Online Class, Over Ear Soft Ear Cups Stereo Headsets, 40H Playtime for Laptop Chromebook CellPhone Skype Zoom",59.99,4.1,253
31,B083P1TSK7,"LORELEI X6 Over-Ear Headphones with Microphone, Lightweight Foldable & Portable Stereo Bass Headphones with 1.45M No-Tangle, Wired Headphones for Smartphone Tablet MP3 / 4 (Pearl Pink)",16.99,4.4,2419
32,B07MCCJ6VY,"Headphones with Microphone, Vogek Lightweight Foldable on Ear Headset for Kids Teens Adults, Wired Stereo Headphones with Deep Bass, Portable Design for Home Office Travel Virtual Schooling, Black",10.99,4.5,16008
33,B08TQJSJLP,"OneOdio Bluetooth Headphones, Studio Over Ear Headphones with Shareport, Foldable, Wired and Wireless Professional Monitor Recording Headphones with Stereo Sound for Electric Drum Piano Guitar Amp",45.99,4.5,6338
34,B07MXGMWG7,"Kids Headphones for School, Jelly Comb Girls Lightweight Foldable Stereo Bass Kids Headphones with Microphone, Volume Control for Cell Phone, Tablet, Laptop, MP3/4(Green & Purple)- For Aged 6 or Above",12.99,4.6,6874
35,B07HH1QSLB,"Amazon Basics In-Ear Wired Headphones, Earbuds with Microphone, Black",,4.2,4717
36,B07S7J1CGK,"Mpow Flame2 Bluetooth Headphones Sport, 12Hrs & Bluetooth 5.0 Wireless Sport Earphones, IPX7 Waterproof Running Headphones w/CVC 6.0 Noise Cancelling Mic, Bluetooth Earphones w/Comfort-Slanting,Black",21.99,4.4,24053
37,B0756GB78C,"Bose QuietComfort 35 II Wireless Bluetooth Headphones, Noise-Cancelling, with Alexa Voice Control -Silver",,4.7,44095
38,B07WT15ZQF,"OneOdio A71 Wired Over Ear Headphones, Studio Headphones with SharePort, Professional Monitor Recording & Mixing Foldable Headphones with Stereo Sound for Electric Drum Keyboard Guitar Amp (Red)",32.99,4.5,5151
39,B01NAJGGA2,"Mpow 059 Bluetooth Headphones Over Ear, HiFi Stereo Wireless Headset, Built-in Microphone, Soft Memory-Protein Earmuffs, Foldable, with Wired Mode, for Online Class, Home Office, PC, Cell Phones, TV",29.99,4.5,55147
40,B08R4414CQ,"Sleep Headphones Bluetooth Headband, Wireless Sports Bluetooth Headband Headphones with Thin Speakers, Sleep Earbuds, Wireless Sleeping Headphones for Workout Running Yoga Nap, Gift for Men and Women",18.99,4.8,1798
41,B07PD9V78L,"Mpow CH6S Kids Headphones with Microphone Over Ear, On Ear Headphones for Kids with HD Sound Sharing Function for Children Boys Girls, Volume Limit Safe 85dB,94dB Headset for School, Travel",25.99,4.7,25315
42,B087JWTWF9,"Artix CL750 Foldable Noise Isolating On Ear Headphones Wired with Microphone and Volume Control, Stereo Head Phones Corded with Adjustable Headband for Computer, Laptop and Cell Phone (Turquoise/Gray)",24.99,4.4,3500
43,B07SHH37M6,"PeohZarr On-Ear Headphones with Microphone, Lightweight Folding Stereo Bass Headphones with 1.5M Tangle Free Cord, Portable Wired Headphones for Smartphone Tablet Laptop Computer MP3/4",12.98,4.5,19024
44,B07RGZ5NKS,TOZO T6 True Wireless Earbuds Bluetooth Headphones Touch Control with Wireless Charging Case IPX8 Waterproof TWS Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass for Sport Black,25.99,4.5,90506
45,B07J5X68B2,"Sonitum On Ear Headphones with Microphone, Wired Head Phones with Volume Control for Computer Ipad Cellphone, Kids Headphones for School, Foldable/Adjustable fit Tangle Free 1.5m Cord, 3.5mm Jack",12.97,4.5,2151
46,B08P329YL4,"Hybrid Active Noise Cancelling Headphones-SuperEQ S1 Bluetooth 5.0 Over Ear Wireless Wired Headset with Ambient Mode, 45H Playtime, Hi-Fi Deep Bass, Memory Foam Earpads for Travel Home Office (Black)",50.99,4.5,300
47,B0854F11JB,"Earbuds Headphones with Microphone 5 Pack, Earbuds Wired Stereo Earphones in-Ear Headphones Bass Earbuds, Compatible with iPhone and Android Smartphones, iPod, iPad, MP3 Players, Fits Most 3.5mm Jack",11.99,4.5,11207
48,B07RRQ59JR,"AfterShokz Aeropex Open-Ear Wireless Bone Conduction Headphones with Sport Belt, Cosmic Black, 2.3",159.95,4.6,12726
49,B07L1RQDJM,Heavy bass Earphone Color Call with Mic Stereo Earbud Headphones Mixed Colors (Black + White + Pink + Green 4 Pairs)…,8.49,4.2,7135
50,B00Q6P4CMA,"Sony MDREX15LP in-Ear Earbud Headphones, Black, Model Number: MDREX15LP/B",,4.4,10132
51,B08738D39L,"OneOdio Wired Over Ear Headphones-Noise Isolation, 3.5mm/6.35mm Jack, Professional Studio Monitor Recording & Mixing Stereo Headphones for Electric Guitar Drum Amp Keyboard Podcast",37.99,4.4,861
52,B087R2R8S6,"Active Noise Cancelling Headphones VANKYO C750 Wireless Bluetooth Headphones Over Ear Headset with CVC 8.0 Mic Hi-Fi Sound, Deep Bass, 30H Playtime, Protein Earpad for Travel, Work, Online Class-Black",58.98,4.7,5562
53,B08NZN8N3W,"Wireless Earbuds, Mpow M12 Bluetooth Earbuds, Wireless Charging & USB-C Charging Case Bluetooth Headphones Wireless Earphones w/Mic, Bass Sound/IPX8 Waterproof/Touch Control/25 Hrs/Dual Modes, Blue",29.99,4.5,9027
54,B07J2Z5DBM,TOZO T10 Bluetooth 5.0 Wireless Earbuds with Wireless Charging Case IPX8 Waterproof TWS Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass for Sport Black,23.99,4.3,177023
55,B07MCCJ6VY,"Headphones with Microphone, Vogek Lightweight Foldable on Ear Headset for Kids Teens Adults, Wired Stereo Headphones with Deep Bass, Portable Design for Home Office Travel Virtual Schooling, Black",10.99,4.5,16008
