;Unnamed: 0;name;seller;seller_link;freq_bought;freq_bought_link;link_to_all_reviews;phone talk time;ink color;phone standy time (with data);language;compatible devices;gsm frequencies;average battery life (in hours);audio jack;product dimensions;oem part number;specific uses for product;processor speed;audio-out ports (#);device interface - primary;manufacturer;special features;graphics coprocessor;package dimensions;hard drive rotational speed;model;max screen resolution;voltage;display resolution;part number;chipset brand;manufacturer recommended age;assembled height;rating;additional features;date first available;wattage;batteries included?;card description;best sellers rank;number of usb 3.0 ports;rear webcam resolution;assembled width;release date;display technology;manufacturer part number;body material;item model number;connectivity technologies;screen resolution;cover included;processor type;operating system;assembled length;number of items;batteries;battery description;mfg recommended age;power source;batteries required;specification met;batteries required?;other camera features;color;domestic shipping;national stock number;memory speed;item dimensions  lxwxh;import designation;included components;size;wireless communication technologies;optical drive type;hardware platform;graphics card ram size;colour;finish types;wireless type;hard drive interface;color screen;color name;brand name;number of pieces;finish;other display features;ram;is discontinued by manufacturer;warranty description;international shipping;gpu;item weight;flash memory size;item package quantity;department;pricing;os;form factor;binding;brand;standing screen display size;material;item display height;processor brand;connector type;processor count;installation method;series;ASIN;number of usb 2.0 ports;material type;computer memory type
2372;2372;ConceptD 7 Pro CN715-71P-727W Creator Laptop, Intel i7-9750H, NVIDIA Quadro RTX 3000, NVIDIA RTX Studio, 15.6inch 4K Ultra HD IPS, 100% Adobe RGB, Pantone Validated, Delta E<2, 32GB DDR4, 1TB NVMe SSD;;;;;;;;;;;;8 Hours;;14.11 x 10.04 x 0.7 inches;;;;;;;;;;;;;;;;NVIDIA;;;;;July 4, 2020;;;Dedicated;#92,721 in Computers & Accessories ( See Top 100 in Computers & Accessories ) #16,737 in Traditional Laptop Computers;4.0;;;;;;;NX.C59AA.004;;;;;Windows 10 Pro;;;1 Lithium ion batteries required. (included);;;Battery Powered;;;;;;;;4.5 GHz;14.11 x 10.04 x 0.7 inches;;;;;No Optical Drive;;6 GB;;;Bluetooth;Gigabit Ethernet;;;;;;;;;;;;4.63 pounds;1;;;;;;;Acer;15.6 Inches;;;Intel;;6.0;;CN715-71P-727W;B08CS1JBML;;;DDR4 SDRAM
2373;2373;Asus ProArt PA90 Mini PC ISV-Certified Workstation, Intel i7-9700K, NVIDIA Quadro P4000 Graphics, 512GB SSD, 1TB HDD, 16GB DDR4, Bluetooth Keyboard & Mouse, DisplayPort, 802.11AC WiFi;;;;;;;;;;;;;;6.93 x 6.93 x 14.4 inches;;;;;;;;Quadro 4000;;7200 RPM;;;100240 volts;;;NVIDIA;;;;;October 8, 2020;;;Dedicated;#73,921 in Electronics ( See Top 100 in Electronics ) #7,355 in Computers & Tablets;4.0;;;;;;;PA90-M7101ZN;;;;;Windows 10 Pro;;;;;;;;;;;;;;;6.93 x 6.93 x 14.4 inches;;;;;;PC;;;;Bluetooth, 802.11ac;PCIE x 4;;;;;;;;;;;;26.1 pounds;;;;;;;;ASUS;1;;;Intel;;1.0;;PA90-M7101ZN;B08LCPB8W8;;;SODIMM
2374;2374;HP 3KX07UT Z4 G4 CPU I XEONW-2125 4.0 4C, RAM 16GB (2X8GB) DDR4 2666 ECC, HDD 1TB 7200;Toll Brothers;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1LTTWKRA6DFE&isAmazonFulfilled=1;;;https://www.amazon.com//HP-3KX07UT-XEONW-2125-16GB-2X8GB/product-reviews/B078LS4JP7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;6.65 x 17.52 x 15.2 inches;;;;;;;;NVIDIA Quadro P4000;;1;;1;;;;NVIDIA;;;5.0;;December 24, 2017;;;Dedicated;#22,076 in Laptop Computer Replacement Parts;1.0;;;;;;;3KX07UT;;;;;Windows 10 Pro for Workstations;;;;;;AC;;;;;Black;;;2666 MHz;6.65 x 17.52 x 15.2 inches;;;;;DVD-RW;PC;1;;;;ATA-4;;;;;;;;;;;;22.5 pounds;16;;;;;;;HP;1;;;Intel;;4.0;;3KX07UT;B078LS4JP7;1.0;;GDDR5
2375;2375;Dual Color Tablet PC, 10in Dual Camera Tablet PC 3G/Bluetooth/WiFi 1GB RAM+16GB ROM WiFi Tablet for Android(Black);xuuyuu;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3UOH6UFKYX3BS&isAmazonFulfilled=1;;;https://www.amazon.com//Color-Tablet-Camera-Bluetooth-Android/product-reviews/B07JBWNH23/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;7.87 x 5.91 x 1.57 inches;;;;;;Yosoo;;;;;;;;;;;;;3.0;;October 26, 2018;;;;#338,578 in Electronics ( See Top 100 in Electronics ) #7,437 in Computer Tablets;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.75 pounds;;;;;;;;;;;;;;;;;B07JBWNH23;;;
2376;2376;Acer Veriton VX4665G-I5940H1 Desktop, 9th Gen Intel Core i5-9400, 8GB DDR4, 1TB 7200RPM HDD, 8X DVD, Intel Wireless-AC 9260 802.11ac Gigabit WiFi 5, Keyboard and Mouse, Windows 10 Professional;;;;;;;;;;;;;;12.01 x 4.02 x 13.07 inches;;;;;;;;;;7200 RPM;;;;;;Intel;;;5.0;;March 6, 2020;;;Integrated;#73,162 in Computers & Accessories ( See Top 100 in Computers & Accessories ) #3,186 in Tower Computers;4.0;;;;;;;VX4665G-I5940H1;;;;;Windows 10 Pro;;;;;;;;;;;;;;;12.01 x 4.02 x 13.07 inches;;;;;DVD-RW;Windows;;;;5 GHz Radio Frequency, 802.11ab, 2.4 GHz Radio Frequency;Serial ATA;;;;;;;;;;;;12.3 pounds;0.1;;;;;;;Acer;0.1;;;Intel;;6.0;;VX4665G-I5940H1;B085LMR7ZL;4.0;;DDR4 SDRAM
2377;2377;Dell OptiPlex 7070 Desktop Computer - Intel Core i7-9700 - 8GB RAM - 1TB HDD - Small Form Factor;STC Distributors (Serial # Recorded);https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AD7Y6TQ6313D1&isAmazonFulfilled=1;;;https://www.amazon.com//Dell-OptiPlex-7070-Desktop-Computer/product-reviews/B07TNR5SFT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;11.4 x 3.7 x 11.5 inches;;;;;;;;Intel UHD Graphics 630;;7200 RPM;;;;;;Intel;;;5.0;;June 27, 2019;;;Integrated;#106,397 in Computers & Accessories ( See Top 100 in Computers & Accessories ) #4,911 in Tower Computers;;;;;;;;7070;;;;;Windows 10 Pro;;;;;;;;;;;;;;;11.4 x 3.7 x 11.5 inches;;;;;DVD-RW;PC;;;;;Serial ATA;;;;;;;;;;;;11.6 pounds;8;;;;;;;Dell;0.01 Inches;;;Intel;;1.0;;7070;B07TNR5SFT;4.0;;DDR4 SDRAM
2378;2378;Mini PC Stick Morefine Intel Celeron N4100(up to 2.4GHz) Windows 10 / Linux Mini Computer Stick, DDR4 4GB+128GB, UHD 4K@60Hz, Dual Band WiFi USB 3.0, BT 4.2;changxin2020;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1K4F2H9KKRC4O&isAmazonFulfilled=1;;;;;;;;;;;;5.31 x 0.59 x 1.77 inches;;;;;;;;Intel UHD Graphics 600;;;;;;;;Intel;;;5.0;;July 27, 2020;;;;#41,317 in Computers & Accessories ( See Top 100 in Computers & Accessories ) #1,172 in Mini Computers;;;;;;;;M1K;;;;;Windows 10;;;;;;;;;;;;;;;5.31 x 0.59 x 1.77 inches;;;;;;PC;;;;Bluetooth, 802.11abg;USB 3.0;;;;;;;;;;;;12.5 ounces;120 GB;;;;;;;MORE FINE;;;;Intel;;4.0;;M1K;B08DNG4RSF;;;GDDR4
2379;2379;SanDisk SSD Plus 120GB Solid State Drive - SDSSDA-120G-G26;BlueProton;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2WTVCOLVN15GP&isAmazonFulfilled=1;Ubit 6 Pack Latest PCI-E Riser Express Cable 16X to 1X (6pin / MOLEX/SATA) with Led Graphics…;https://www.amazon.com/Ubit-Express-Graphics-Extension-Ethereum/dp/B076KLJR2Y/ref=pd_bxgy_2/144-8557309-2860347?_encoding=UTF8&pd_rd_i=B076KLJR2Y&pd_rd_r=95d3aeb2-2465-452b-8271-289c8bdeead4&pd_rd_w=66kil&pd_rd_wg=ptiAb&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=Q9B0K3WZ9YGNE9MT8HWK&psc=1&refRID=Q9B0K3WZ9YGNE9MT8HWK;https://www.amazon.com//SanDisk-120GB-Solid-State-Drive/product-reviews/B01F9G414U/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;3.96 x 0.28 x 2.75 inches;;;;;;SanDisk;;;;;;;;;;;;;4.7;;May 10, 2016;;;;#213 in Internal Solid State Drives;;;;;;;;SDSSDA-120G-G26;;;;;;;;;;;;;;;;;;;;3.96 x 0.28 x 2.75 inches;;;;;;"PC; Mac";;;;;;;;;;;;;No;;;;1.12 ounces;120 GB;;;;;;;SanDisk;;;;;;1.0;;SanDisk SSD Plus;B01F9G414U;;;DDR3 SDRAM
2380;2380;SANGE Wireless Streaming Media Players, 4K Ultra HDMI Display Dongle Adapter for iPhone/iPad/iOS/Android/PC/Tablet/Windows/Mac OS to HDTV/Monitor/Projector, Support Miracast, DLNA, Airplay;Pannio;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3SGACZUZM7KF8&isAmazonFulfilled=1;;;https://www.amazon.com//SANGE-Wireless-Streaming-Projector-Miracast/product-reviews/B086YM4Q3M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;;;;;;;Willsun;;;5.3 x 3.3 x 1.7 inches;;;;;;;;;;3.0;;April 10, 2020;;;;#117,418 in Electronics ( See Top 100 in Electronics ) #810 in Streaming Media Players;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.6 ounces;;;;;;;;;;;;;;;;;B086YM4Q3M;;;
2381;2381;ROG Zephyrus M Thin and Portable Gaming Laptop, 15.6” 144Hz Full HD IPS, NVIDIA GeForce GTX 1660 Ti, Intel Core i7-9750H, 16GB DDR4 RAM, 512B PCIe SSD, Per-Key RGB, Windows 10 Pro, GU502GU-XB74;TinVIA Technology;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2A67V1SKOBD7F;;;https://www.amazon.com//Zephyrus-Portable-GeForce-i7-9750H-GU502GU-XB74/product-reviews/B07RG83B7K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;1 days;;9.9 x 14.2 x 0.7 inches;;;;;;;;NVIDIA GeForce GTX 1660Ti GDDR6 6GB;;1 RPM;;1920 x 1080;;;;NVIDIA;;;4.4;;May 29, 2019;;;Dedicated;#17,162 in Computers & Accessories ( See Top 100 in Computers & Accessories ) #2,350 in Traditional Laptop Computers;2.0;;;;;;;GU502GU-XB74;;;;;Windows 10;;;1 Lithium ion batteries required. (included);;;;;;;;Metallic Black;;;4.5 GHz;9.9 x 14.2 x 0.7 inches;;;;;No Optical Drive;PC;1 GB;;;802.11ac;Solid State;;;;;;;;;;;;4.4 pounds;512;;;;;;;ASUS;15.6 Inches;;;AMD;;6.0;;TUF705DU-PB74;B07RG83B7K;2.0;;DDR SDRAM
