;Unnamed: 0;name;seller;seller_link;freq_bought;freq_bought_link;link_to_all_reviews;phone talk time;ink color;phone standy time (with data);language;compatible devices;gsm frequencies;average battery life (in hours);audio jack;product dimensions;oem part number;specific uses for product;processor speed;audio-out ports (#);device interface - primary;manufacturer;special features;graphics coprocessor;package dimensions;hard drive rotational speed;model;max screen resolution;voltage;display resolution;part number;chipset brand;manufacturer recommended age;assembled height;rating;additional features;date first available;wattage;batteries included?;card description;best sellers rank;number of usb 3.0 ports;rear webcam resolution;assembled width;release date;display technology;manufacturer part number;body material;item model number;connectivity technologies;screen resolution;cover included;processor type;operating system;assembled length;number of items;batteries;battery description;mfg recommended age;power source;batteries required;specification met;batteries required?;other camera features;color;domestic shipping;national stock number;memory speed;item dimensions  lxwxh;import designation;included components;size;wireless communication technologies;optical drive type;hardware platform;graphics card ram size;colour;finish types;wireless type;hard drive interface;color screen;color name;brand name;number of pieces;finish;other display features;ram;is discontinued by manufacturer;warranty description;international shipping;gpu;item weight;flash memory size;item package quantity;department;pricing;os;form factor;binding;brand;standing screen display size;material;item display height;processor brand;connector type;processor count;installation method;series;ASIN;number of usb 2.0 ports;material type;computer memory type
0;0;AMD Ryzen 5 3600 6-Core, 12-Thread Unlocked Desktop Processor with Wraith Stealth Cooler;;;;;https://www.amazon.com//AMD-Ryzen-3600-12-Thread-Processor/product-reviews/B07STGGQ18/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;1.57 x 1.57 x 0.24 inches;;;;;;AMD;;;;;;;;;;;;;4.9;;July 1, 2019;;;;#1 in Computer CPU Processors;;;;;;;;Ryzen 5 3600;;;;;;;;;;;;;;;;;;;;1.57 x 1.57 x 0.24 inches;;;;;;;;;;;;;;;;;;;No;;;;1.6 ounces;;;;;;;;AMD;;;;AMD;;6.0;;Ryzen 5;B07STGGQ18;;;
1;1;Intel Core i9-9900K Desktop Processor 8 Cores up to 5.0GHz Unlocked LGA1151 300 Series 95W (BX806849900K);Ideabuy;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1FF9ODJZIUKGX&isAmazonFulfilled=1;;;https://www.amazon.com//Intel-i9-9900K-Processor-Unlocked-BX806849900K/product-reviews/B089J731BX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;;;;;;;Intel;;;4.6 x 4.3 x 1.8 inches;;;;;;;;;;4.8;;June 1, 2020;;;;#16 in Computer CPU Processors;;;;;;;;BX806849900K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.2 ounces;;;;;;;;Intel;;;;Intel;;1.0;;;B089J731BX;;;
2;2;AMD Ryzen 7 3700X 8-Core, 16-Thread Unlocked Desktop Processor with Wraith Prism LED Cooler;;;;;https://www.amazon.com//AMD-Ryzen-3700X-16-Thread-Processor/product-reviews/B07SXMZLPK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;1.57 x 1.57 x 0.24 inches;;;;;;AMD;;;;;;;;;;;;;4.9;;July 1, 2019;;;;#9 in Computer CPU Processors;;;;;;;;Ryzen 7 3700X;;;;;;;;1 Lithium ion batteries required.;;;;;;;;;;;;1.57 x 1.57 x 0.24 inches;;;;;;;;;;;;;;;;;;;No;;;;1.4 pounds;;;;;;;;AMD;;;;AMD;;8.0;;Ryzen 7;B07SXMZLPK;;;
3;3;AMD Ryzen 5 2600 Processor with Wraith Stealth Cooler - YD2600BBAFBOX;;;;;https://www.amazon.com//AMD-Processor-Wraith-Stealth-Cooler/product-reviews/B07B41WS48/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;1.6 x 1.6 x 0.3 inches;;;;;;AMD;;;;;;;;;;;;;4.8;;April 13, 2018;;;;#20 in Computer CPU Processors;;;;;;;;YD2600BBAFBOX;;;;;;;;;;;;;;;;;;;;1.6 x 1.6 x 0.3 inches;;;;;;;;;;802.11a;;;;;;;;;No;;;;1 pounds;;;;;;;;AMD;;;;AMD;;6.0;;;B07B41WS48;;;DDR4 SDRAM
4;4;Intel Core i7-9700K Desktop Processor 8 Cores up to 4.9 GHz Turbo unlocked LGA1151 300 Series 95W;Ideabuy;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1FF9ODJZIUKGX&isAmazonFulfilled=1;;;https://www.amazon.com//Intel-i7-9700K-Desktop-Processor-Unlocked/product-reviews/B07HHN6KBZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;4.57 x 3.98 x 2.76 inches;;;;;;Intel;;;;;;;;;;;;;4.8;;October 8, 2018;;;;#6 in Computer CPU Processors;;;;;;;;BX80684I79700K;;;;;;;;;;;;;;;;;;;3600 MHz;4.57 x 3.98 x 2.76 inches;;;;;;;;;;;;;;;;;;;No;;;;1.59 ounces;;;;;;;;Intel;;;;Intel;;8.0;;;B07HHN6KBZ;1.0;;DDR4 SDRAM
5;5;AMD Ryzen 5 1600 65W AM4 Processor with Wraith Stealth Cooler (YD1600BBAFBOX);TRIPPODO US;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3LA4IZ88FFM0U;;;https://www.amazon.com//AMD-Processor-Wraith-Stealth-Cooler/product-reviews/B07XTQZJ28/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;1.61 x 2.99 x 1.61 inches;;;;;;AMD;;;;;;;;;;;;;4.8;;October 11, 2019;;;;#23 in Computer CPU Processors;;;;;;;;YD1600BBAFBOX;;;;;;;;;;;;;;;;;;;;1.61 x 2.99 x 1.61 inches;;;;;;;;;;;;;;;;;;;;;;;15.9 ounces;;;;;;;;AMD;;;;AMD;;2.0;;;B07XTQZJ28;;;
6;6;Intel Core i9-10850K Desktop Processor 10 Cores up to 5.2 GHz Unlocked LGA1200 (Intel 400 Series chipset) 125W;;;;;https://www.amazon.com//Intel-i9-10850K-Desktop-Processor-Unlocked/product-reviews/B08DHRG2X9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;9.53 x 5 x 4.88 inches;;;;;;Intel;;;;;;;;;;;;;4.8;;July 27, 2020;;;;#19 in Computer CPU Processors;;;;;;;;BX8070110850K;;;;;;;;;;;;;;;;;;;;9.53 x 5 x 4.88 inches;;;;;;;;;;;;;;;;;;;No;;;;2.88 ounces;;;;;;;;Intel;;;;Intel;;1.0;;I9-10850K;B08DHRG2X9;;;
7;7;Intel Core i3-10100 Desktop Processor 4 Cores up to 4.3 GHz  LGA1200 (Intel 400 Series Chipset) 65W, Model Number: BX8070110100;;;;;https://www.amazon.com//Intel-i3-10100-Desktop-Processor-LGA1200/product-reviews/B086MMRW87/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;2.8 x 4.21 x 4.41 inches;;;;;;Intel;;;;;;;;;;;;;4.8;;May 27, 2020;;;;#31 in Computer Motherboards;;;;;;;;BX8070110100;;;;;;;;;;;;;;;;;;;;2.8 x 4.21 x 4.41 inches;;;;;;;;;;;;;;;;;;;;;;;3.5 ounces;;;;;;;;Intel;;;;Intel;;4.0;;;B086MMRW87;;;
8;8;Intel Core i7-9700 Desktop Processor 8 Cores up to 4.7 GHz LGA1151 300 Series 65W;Ideabuy;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1FF9ODJZIUKGX&isAmazonFulfilled=1;;;https://www.amazon.com//Intel-i7-9700-Desktop-Processor-LGA1151/product-reviews/B07S6CRLVD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;4.57 x 2.76 x 3.98 inches;;;;;;Intel;;;;;;;;;;;;;4.8;;May 15, 2019;;;;#34 in Computer CPU Processors;;;;;;;;BX80684I79700;;;;;;;;;;;;;;;;;;;3000 MHz;4.57 x 2.76 x 3.98 inches;;;;;;;;;;;;;;;;;;;No;;;;8.5 ounces;;;;;;;;Intel;;;;Intel;;8.0;;Intel i7;B07S6CRLVD;;;
9;9;AMD Ryzen 7 2700X Processor with Wraith Prism LED Cooler - YD270XBGAFBOX;;;;;https://www.amazon.com//AMD-Ryzen-Processor-Wraith-Cooler/product-reviews/B07B428M7F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;1.6 x 1.6 x 0.3 inches;;;;;;AMD;;;;;;;;;;;;;4.8;;April 13, 2018;;;;#31 in Computer CPU Processors;;;;;;;;YD270XBGAFBOX;;;;;;;;;;;;;;;;RGB;;;;1.6 x 1.6 x 0.3 inches;;;;;;;;;;;;;;;;;;;No;;;;1.6 ounces;;;;;;;;AMD;;;;AMD;;8.0;;;B07B428M7F;;;DDR4 SDRAM
10;10;Intel Core i7-10700KF Desktop Processor 8 Cores up to 5.1 GHz Unlocked Without Processor Graphics LGA1200 (Intel 400 Series chipset) 125W;;;;;https://www.amazon.com//Intel-i7-10700KF-Processor-Unlocked-Graphics/product-reviews/B086MMS6FV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;;;;;;;Intel;;;14.41 x 4.13 x 1.73 inches;;;;;;;;;;4.8;;May 20, 2020;;;;#37 in Computer CPU Processors;;;;;;;;BX8070110700KF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;;;;2.88 ounces;;;;;;;;Gigabyte;;;;Intel;;8.0;;;B086MMS6FV;;;
11;11;Intel Core i7-10700 Desktop Processor 8 Cores up to 4.8 GHz LGA 1200 (Intel 400 Series Chipset) 65W, BX8070110700;;;;;https://www.amazon.com//Intel-i7-10700-Desktop-Processor-BX8070110700/product-reviews/B086MG1C7C/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;2.83 x 4.09 x 4.65 inches;;;;;;Intel;;;;;;;;;;;;;4.8;;May 27, 2020;;;;#15 in Computer CPU Processors;;;;;;;;BX8070110700;;;;;;;;;;;;;;;;;;;;2.83 x 4.09 x 4.65 inches;;;;;;;;;;;;;;;;;;;;;;;3.5 ounces;;;;;;;;Intel;;;;Intel;;8.0;;;B086MG1C7C;;;
12;12;AMD Ryzen 7 3800XT 8-core, 16-Threads Unlocked Desktop Processor Without Cooler;NCG Ltd.🛒;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A328TPQVTPRFL7&isAmazonFulfilled=1;;;https://www.amazon.com//AMD-Ryzen-3800XT-16-Threads-Processor/product-reviews/B089WCXZJC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;8 x 6 x 6 inches;;;;;;AMD;;;;;;;;;;;;;4.8;;July 7, 2020;;;;#44 in Computer CPU Processors;;;;;;;;AMD Ryzen 7 3800XT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.3 ounces;;;;;;;;;;;;;;;;;B089WCXZJC;;;
13;13;Intel Core i7-9700F Desktop Processor 8 Core 3 GHz speed (Up to 4.7 GHz) Without Processor Graphics LGA1151 300 Series 65W (BX80684I79700F);;;;;https://www.amazon.com//Intel-i7-9700F-Desktop-Processor-Graphics/product-reviews/B07S8DWXT3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;4.57 x 2.76 x 3.98 inches;;;;;;Intel;;;;;;;;;;;;;4.7;;May 15, 2019;;;;#39 in Computer CPU Processors;;;;;;;;BX80684I79700F;;;;;;;;;;;;;;;;;;;;4.57 x 2.76 x 3.98 inches;;;;;;;;;;;;;;;;;;;No;;;;3.53 ounces;;;;;;;;Intel;;;;Intel;;8.0;;Intel i7;B07S8DWXT3;;;
14;14;Intel Core i5-10600K Desktop Processor 6 Cores up to 4.8 GHz Unlocked  LGA1200 (Intel 400 Series Chipset) 125W;;;;;https://www.amazon.com//Intel-i5-10600K-Desktop-Processor-Unlocked/product-reviews/B086MHSH2C/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;1.73 x 4.09 x 4.65 inches;;;;;;Intel;;;;;;;;;;;;;4.8;;May 20, 2020;;;;#10 in Computer CPU Processors;;;;;;;;BX8070110600K;;;;;;;;;;;;;;;;;;;;1.73 x 4.09 x 4.65 inches;;;;;;;;;;;;;;;;;;;;;;;2.54 ounces;;;;;;;;Intel;;;;Intel;;6.0;;;B086MHSH2C;;;
15;15;Intel BX80684I99900KF Intel Core i9-9900KF Desktop Processor 8 Cores up to 5.0 GHz Turbo Unlocked Without Processor Graphics LGA1151 300 Series 95W;;;;;https://www.amazon.com//Intel-BX80684I99900KF-i9-9900KF-Processor-Unlocked/product-reviews/B07MGBZWDZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;4.57 x 1.73 x 3.98 inches;;;;;;Intel;;;;;;;;;;;;;4.6;;January 7, 2019;;;;#101 in Computer CPU Processors;;;;;;;;BX80684I99900KF;;;;;;;;;;;;;;;;;;;3600 MHz;4.57 x 1.73 x 3.98 inches;;;;;;;;;;;;;;;;;;;No;;;;1.1 ounces;;;;;;;;Intel;;;;Intel;;8.0;;I9-9900KF;B07MGBZWDZ;;;
16;16;AMD Ryzen 5 3400G 4-core, 8-Thread Unlocked Desktop Processor with Radeon RX Graphics;;;;;https://www.amazon.com//AMD-Ryzen-3400G-8-Thread-Processor/product-reviews/B07SXNDKNM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;1.57 x 1.57 x 0.24 inches;;;;;;AMD;;;;;;;;;;;;;4.8;;July 1, 2019;;;;#21 in Computer CPU Processors;;;;;;;;Ryzen 5 3400G;;;;;;;;;;;;;;;;;;;;1.57 x 1.57 x 0.24 inches;;;;;;;;;;;;;;;;;;;No;;;;1.12 pounds;;;;;;;;AMD;;;;AMD;;4.0;;Ryzen 5;B07SXNDKNM;;;
17;17;AMD Ryzen 5 3600X 6-Core, 12-Thread Unlocked Desktop Processor with Wraith Spire Cooler;GOOD_BOY;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A20P1XQILCQ7GE&isAmazonFulfilled=1;;;https://www.amazon.com//AMD-Ryzen-3600X-12-Thread-Processor/product-reviews/B07SQBFN2D/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;1.57 x 1.57 x 0.24 inches;;;;;;AMD;;;;;;;;;;;;;4.8;;July 1, 2019;;;;#36 in Computer CPU Processors;;;;;;;;100-100000022BOX;;;;;;;;;;;;;;;;;;;3200 MHz;1.57 x 1.57 x 0.24 inches;;;;;;;;;;;;;;;;;;;No;;;;1.6 ounces;;;;;;;;AMD;;;;AMD;;6.0;;Ryzen 5;B07SQBFN2D;;;
18;18;Intel Core i5-9600K Desktop Processor 6 Cores up to 4.6 GHz Turbo unlocked LGA1151 300 Series 95W;;;;;https://www.amazon.com//Intel-i5-9600K-Desktop-Processor-Unlocked/product-reviews/B07HHLX1R8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;4.57 x 3.98 x 2.76 inches;;;;;;Intel;;;;;;;;;;;;;4.8;;September 19, 2018;;;;#57 in Computer CPU Processors;;;;;;;;BX80684I59600K;;;;;;;;1 Lithium ion batteries required.;;;;;;;;;;;3700 MHz;4.57 x 3.98 x 2.76 inches;;;;;;;;;;;;;;;;;;;No;;;;2.4 ounces;;;;;;;;Intel;;;;Intel;;6.0;;;B07HHLX1R8;1.0;;DDR4 SDRAM
19;19;Intel Core i5-8400 Desktop Processor 6 Cores up to 4.0 GHz LGA 1151 300 Series 65W;;;;;https://www.amazon.com//Intel-i5-8400-Desktop-Processor-Cores/product-reviews/B0759FGJ3Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;4.57 x 2.76 x 3.98 inches;;;;;;Intel;;;;;;;;;;;;;4.8;;October 5, 2017;;;;#40 in Computer CPU Processors;;;;;;;;BX80684I58400;;;;;;;;1 Lithium ion batteries required.;;;;;;;;;;;2800 MHz;4.57 x 2.76 x 3.98 inches;;;;;;;;;;;;;;;;;;;No;;;;3.53 ounces;;;;;;;;Intel;;;;Intel;;1.0;;BX80684I58400;B0759FGJ3Q;1.0;;DDR4 SDRAM
20;20;Samsung Chromebook 4 Chrome OS 11.6inch HD Intel Celeron Processor N4000 4GB RAM 32GB eMMC Gigabit Wi-Fi - XE310XBA-K01US;;;;;https://www.amazon.com//Samsung-Chromebook-Celeron-Processor-Gigabit/product-reviews/B07XQQTVS3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;11.33 x 7.96 x 0.66 inches;;;;;;;;Intel Celeron Processor N4000;;;;1366 x 768 Pixels;;;;Intel;;;4.5;;October 7, 2019;;;Integrated;#1,222 in Computers & Accessories ( See Top 100 in Computers & Accessories ) #119 in Traditional Laptop Computers;2.0;;;;;;;XE310XBA-K01US;;;;;Chrome OS;;;1 Lithium ion batteries required. (included);;;Battery Powered;;;;;Platinum Titan;;XE310XBA-K01US;2133 GHz;11.33 x 7.96 x 0.66 inches;;;;;No Optical Drive;PC;4 GB;;;801.11ac;Solid State;;;;;;;;;;;;3.8 pounds;32;;;;;;;Samsung Electronics;11.6 Inches;;;Intel;;1.0;;Chromebook 4;B07XQQTVS3;;;DDR4 SDRAM
21;21;Intel BX80662I76700K 4512 Core i7 6700K 4.00 GHz Unlocked Quad Core Sky Lake Desktop Processor, Socket LGA 1151;Pavilion Electronics;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AGNVO1SI8BPQA&isAmazonFulfilled=1;;;https://www.amazon.com//Intel-Unlocked-Skylake-Processor-BX80662I76700K/product-reviews/B012M8LXQW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;5.5 x 4.8 x 1.8 inches;;;;;;Intel;;Integrated_graphics;;;;;;;;;;;4.7;;August 5, 2015;;;Integrated;#54 in Computer CPU Processors;;;;;;;;BX80662I76700K;;;;;;;;;;;;;;;;;;;;5.5 x 4.8 x 1.8 inches;;;;;;;;;;;;;;;;;;;No;;;;0.16 ounces;;;;;;;;Intel;;;;Intel;;4.0;;Intel Boxed Core I7-6700K 4.00 GHz 8M BX80662I76700K;B012M8LXQW;;;DDR4 SDRAM
22;22;Intel Core i5-9400F Desktop Processor 6 Cores 4.1 GHz Turbo Without Graphics;Micom Pro;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2SNQ4AQTVSAXZ&isAmazonFulfilled=1;;;https://www.amazon.com//Intel-i5-9400F-Desktop-Processor-Graphics/product-reviews/B07MRCGQQ4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;4.57 x 2.76 x 3.98 inches;;;;;;Intel;;No Integrated Graphics;;;;;;;;;;;4.8;;January 7, 2019;;;;#12 in Computer CPU Processors;;;;;;;;BX80684I59400F;;;;;;;;;;;;;;;;;;;2900 MHz;4.57 x 2.76 x 3.98 inches;;;;;;;;;;;;;;;;;;;No;;;;3.53 ounces;;;;;;;;Intel;;;;Intel;;6.0;;;B07MRCGQQ4;1.0;;DDR4 SDRAM
23;23;ASUS VivoBook 15 F515 Thin and Light Laptop, 15.6” FHD Display, Intel Core i3-1005G1 Processor, 4GB DDR4 RAM, 128GB PCIe SSD, Fingerprint Reader, Windows 10 Home in S Mode, Slate Grey, F515JA-AH31;;;Nintendo Switch - Mario Red & Blue Edition - Switch;/Nintendo-Switch-Mario-Red-Blue/dp/B08M8YQMH4/ref=pd_bxgy_2/137-8236276-8781231?_encoding=UTF8&pd_rd_i=B08M8YQMH4&pd_rd_r=71600cf7-a428-4a58-832a-3ba398a6fd58&pd_rd_w=kh1F8&pd_rd_wg=qCPdn&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=J140D653H6NQS7BWBAHF&psc=1&refRID=J140D653H6NQS7BWBAHF;https://www.amazon.com//ASUS-i3-1005G1-Processor-Fingerprint-F515JA-AH31/product-reviews/B08H4YTTLP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;14.2 x 9.2 x 0.78 inches;;;;;;;;Intel UHD Graphics;;;;1920 x 1080 Pixels;19 volts;;;Intel;;;4.5;;October 23, 2020;;;Integrated;#155 in Computers & Accessories ( See Top 100 in Computers & Accessories ) #14 in Traditional Laptop Computers;2.0;;;;;;;F515JA-AH31;;1920 x 1080 pixels;;;Windows 10 S;;;1 Lithium ion batteries required. (included);;;;;;;;Slate Grey;;;3.4 GHz;14.2 x 9.2 x 0.78 inches;;;;;No Optical Drive;PC;4 GB;;;Bluetooth, 802.11ac;USB 3.2;;;;;;;;;;;;3.97 pounds;128;;;;;;;ASUS;15.6 Inches;;;Intel;;2.0;;VivoBook 15;B08H4YTTLP;2.0;;DDR4 SDRAM
24;24;Intel Core i3-9100 Desktop Processor 4 Cores up to 4.2 GHz LGA1151 300 Series 65W;;;;;https://www.amazon.com//Intel-i3-9100-Desktop-Processor-LGA1151/product-reviews/B07RXW4Y2K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;4.57 x 2.76 x 3.98 inches;;;;;;Intel;;;;;;;;;;;;;4.7;;May 15, 2019;;;;#26 in Computer CPU Processors;;;;;;;;BX80684I39100;;;;;;;;;;;;;;;;;;;;4.57 x 2.76 x 3.98 inches;;;;;;;;;;;;;;;;;;;No;;;;3.53 ounces;;;;;;;;Intel;;;;Intel;;4.0;;Intel i3;B07RXW4Y2K;;;
25;25;Intel BX80677G3930 7th Gen Celeron Desktop Processors;Micom Pro;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2SNQ4AQTVSAXZ&isAmazonFulfilled=1;;;https://www.amazon.com//Intel-BX80677G3930-Celeron-Desktop-Processors/product-reviews/B01MYTY55V/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;14.5 x 4.9 x 5.1 inches;;;;;;Intel;;;;;;;240 volts;;;;;;4.6;;January 4, 2017;;;;#8 in Computer CPU Processors;;;;;;;;BX80677G3930;;;;;;;;;;;;;;;;;;;;14.5 x 4.9 x 5.1 inches;;;;;;;;;;;;;;;;;;;No;;;;9.5 ounces;500;;;;;;;Intel;;;;Intel;;2.0;;;B01MYTY55V;2.0;;DDR4 SDRAM
26;26;AMD Ryzen 3 3100 4-Core, 8-Thread Unlocked Desktop Processor with Wraith Stealth Cooler;Micom Pro;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2SNQ4AQTVSAXZ&isAmazonFulfilled=1;;;https://www.amazon.com//AMD-Ryzen-3100-8-Thread-Processor/product-reviews/B0876Y2TMZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;5.16 x 2.8 x 5.28 inches;;;;;;AMD;;;;;;;;;;;;;4.7;;May 21, 2020;;;;#18 in Computer CPU Processors;;;;;;;;100-100000284BOX;;;;;;;;;;;;;;;;;;;;5.16 x 2.8 x 5.28 inches;;;;;;;;;;;;;;;;;;;No;;;;14.4 ounces;;;;;;;;AMD;;;;AMD;;4.0;;Ryzen 3 3100;B0876Y2TMZ;;;
27;27;AMD Ryzen 5 3600XT 6-core, 12-threads unlocked desktop processor with Wraith Spire cooler;Triplenet Pricing INC;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AAZRLVTNON75Z;;;https://www.amazon.com//AMD-Ryzen-3600XT-12-threads-processor/product-reviews/B089WC4VWF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;1.57 x 0.24 x 5.28 inches;;;;;;AMD;;;;;;;;;;;;;4.8;;July 7, 2020;;;;#56 in Computer CPU Processors;;;;;;;;AMD Ryzen 5 3600XT;;;;;;;;;;;;;;;;;;;;1.57 x 0.24 x 5.28 inches;;;;;;;;;;;;;;;;;;;;;;;1.1 pounds;;;;;;;;AMD;;;;AMD;;6.0;;AMD Ryzen 5 3600XT, with Wraith Spire cooler;B089WC4VWF;;;
28;28;Intel Core i7-10700K Desktop Processor 8 Cores up to 5.1 GHz Unlocked  LGA1200 (Intel 400 Series Chipset) 125W (BX8070110700K);;;;;https://www.amazon.com//Intel-i7-10700K-Processor-Unlocked-BX8070110700K/product-reviews/B086ML4XSB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;7.09 x 6.3 x 3.94 inches;;;;;;Intel;;;;;;;;;;;;;4.8;;May 20, 2020;;;;#7 in Computer CPU Processors;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.09 x 6.3 x 3.94 inches;;;;;;;;;;;;;;;;;;;;;;;2.82 ounces;;;;;;;;Intel;;;;Intel;;8.0;;;B086ML4XSB;;;
29;29;GUZILA Mini PC,Intel Celeron J4125 Processor(up to 2.7GHz) Windows 10 Pro Mini Desktop Computer with 8GB DDR4/256GB SSD,Support Triple Display,Gigabit Ethernet,Dual Band Wi-Fi,Bluetooth 4.2,4K HD;ZYPC-US;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A39DVS1BD5XR15&isAmazonFulfilled=1;;;https://www.amazon.com//GUZILA-Processor-Computer-Ethernet-Bluetooth/product-reviews/B08HJ8P5XY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;;;;;;;;;Intel UHD Graphics 600;8.78 x 6.06 x 2.68 inches;;;;;;;;;;4.3;;September 4, 2020;;;;#7,296 in Computers & Accessories ( See Top 100 in Computers & Accessories ) #167 in Mini Computers;;;;;;;;;;;;;Windows 10 Pro;;;;;;;;;;;;;;;;;;;;;PC;;;;802.11ab, 2.4 GHz Radio Frequency;USB;;;;;;;;;;;;1.87 pounds;;;;;;;;GUZILA;;;;Intel;;4.0;;;B08HJ8P5XY;;;DDR3 SDRAM
30;30;AMD Ryzen 7 5800X 8-core, 16-Thread Unlocked Desktop Processor Without Cooler Black, XX-Large;Kemp IT;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AO3HQ89SUOA0A&isAmazonFulfilled=1;;;https://www.amazon.com//AMD-Ryzen-5800X-16-Thread-Processor/product-reviews/B0815XFSGK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;1.57 x 1.57 x 0.24 inches;;;;;;AMD;;;;;;;;;;;;;4.8;;November 5, 2020;;;;#4 in Computer CPU Processors;;;;;;;;AMD Ryzen 7 5800X;;;;;;;;;;;;;;;;Black;;;;1.57 x 1.57 x 0.24 inches;;;;;;;;;;;;;;;;;;;;;;;2.8 ounces;;;;;;;;AMD;;;;AMD;;8.0;;AMD Ryzen 7 5800X, without cooler;B0815XFSGK;;;
