,ASIN,name,freq_bought,freq_bought_link
12,B01FM8H22S,"Dell KM636 Wireless Keyboard & Mouse Combo (5WH32), Black","Dell USB 3.0 Ultra HD/4K Triple Display Docking Station (D3100), Black",https://www.amazon.com/Dell-Display-Docking-Station-D3100/dp/B00O0M46KO/ref=pd_bxgy_2/135-1849729-9870022?_encoding=UTF8&pd_rd_i=B00O0M46KO&pd_rd_r=52557ebf-d1f4-41d0-a3a4-6e728dae7cfb&pd_rd_w=16KfE&pd_rd_wg=c41sb&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=AFM37RY1P965SD973GNR&psc=1&refRID=AFM37RY1P965SD973GNR
13,B085217GYP,"MFTEK RGB Rainbow Gaming Keyboard and Mouse Combo, Compact 87 Keys Backlit Computer Keyboard with Gaming Mouse, USB Wired Set for PC Gamer Laptop Work","RUNMUS Gaming Headset Xbox One Headset with 7.1 Surround Sound, PS4 Headset with Noise Canceling Mic…",https://www.amazon.com/RUNMUS-Surround-Canceling-Compatible-Controller/dp/B07GRM747Y/ref=pd_bxgy_2/144-0885365-7745123?_encoding=UTF8&pd_rd_i=B07GRM747Y&pd_rd_r=b45b90a4-d86d-4e8f-82ba-9f53b129aa47&pd_rd_w=ZLbLa&pd_rd_wg=sGeQ9&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=6HRW8HQGEEZFWS1QFT96&psc=1&refRID=6HRW8HQGEEZFWS1QFT96
14,B07XDHLJ9M,"PICTEK RGB Gaming Keyboard USB Wired Keyboard, Crater Architecture Backlit Computer Keyboard with 8 Independent Multimedia Keys, 25 Keys Anti-ghosting, Splash-Proof, Ideal for PC/Mac Game, Black","VicTsing Mouse Pad with Stitched Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for…",https://www.amazon.com/VicTsing-Stitched-Premium-Textured-Non-Slip-10-2%C3%978-3%C3%970-08/dp/B075WW7V6W/ref=pd_bxgy_2/145-4154055-7354336?_encoding=UTF8&pd_rd_i=B075WW7V6W&pd_rd_r=0a2679c3-aa49-4d4e-9d15-34adb40e8935&pd_rd_w=AzK6o&pd_rd_wg=irl3h&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=RFNEQNBMT3555GHBBFBS&psc=1&refRID=RFNEQNBMT3555GHBBFBS
15,B001OAR26K,Microsoft Wired Keyboard 600 (Black),,
16,B08K91L4F8,"Wireless Keyboard and Mouse, Jelly Comb 2.4G Ultra Slim Wireless Keyboard Mouse Combo with 12 Multi-Media Keys and Auto Sleep for Windows/Computer/PC/Laptop/Desktop-Black and Red","Wireless Keyboard and Mouse, Jelly Comb 2.4G USB Keyboard Mouse Combo Slim Ergonomic Quiet Energy…",https://www.amazon.com/Jelly-Comb-Ergonomic-Energy-Saving-Laptop-Black/dp/B084ZCSB2T/ref=pd_bxgy_2/144-4682497-2688543?_encoding=UTF8&pd_rd_i=B084ZCSB2T&pd_rd_r=66d4b6df-985c-43bc-8996-da89b2b6d6e7&pd_rd_w=GXaio&pd_rd_wg=jd0zm&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=DJAQVRC1ED451MFRCS06&psc=1&refRID=DJAQVRC1ED451MFRCS06
17,B07XNNLN9N,"Wireless Keyboard and Mouse Combo Silent, RATEL 2.4GHz Ultra-Thin Full Sized Wireless Keyboard Mouse Set with USB Receiver for Computer, Desktop, PC, Notebook, Laptop (Black)",HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and…,https://www.amazon.com/HP-24mh-FHD-Monitor-Built/dp/B08BF4CZSV/ref=pd_bxgy_2/141-4396409-8466919?_encoding=UTF8&pd_rd_i=B08BF4CZSV&pd_rd_r=7c395706-860b-45d7-8859-dd4b841f80d5&pd_rd_w=RtELA&pd_rd_wg=BBJqV&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=8E970R4WRVATAXTRX1N8&psc=1&refRID=8E970R4WRVATAXTRX1N8
18,B08LB2SVFX,"Multi-Device Bluetooth Keyboard for Windows/Mac OS, seenda Ultra Slim Rechargeable Wireless Keyboard Switch to 3 Devices, for MacBook Pro/Air, Windows 7/8/10, iPad, Laptop, Computer, PC",,
19,B07R84PW29,"Macally Wired Keyboard for Laptop - A Simple Workflow Enhancing Solution - Computer Keyboard Wired with 5ft Cable, 112 Slim Keys, 8 Media Keys, and Numeric Keypad - Plug and Play Windows USB Keyboard",,
20,B084QGWFTH,X9 Performance Slim 2.4G USB Wireless Keyboard for Laptop or Computer - Designed for Windows - 110 Key Layout with Numeric Keypad and 17 Shortcut Keys - Rechargeable PC Keyboard Wireless - Aluminum,X9 Performance Silent Wireless Mouse for Mac or PC - Quiet Click Buttons and DPI Switch 800/1200…,https://www.amazon.com/X9-Performance-Silent-Wireless-Mouse/dp/B087JH1G6C/ref=pd_bxgy_2/146-5056374-2970261?_encoding=UTF8&pd_rd_i=B087JH1G6C&pd_rd_r=a9bd4696-39bd-4bd5-ab3c-8c2c25d84027&pd_rd_w=taerf&pd_rd_wg=3UEM2&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=1YCKBEPSMFMTVPWBTSCH&psc=1&refRID=1YCKBEPSMFMTVPWBTSCH
21,B089NQD4RR,"PICTEK Full Size Mechanical Gaming Keyboard, Rainbow Backlit Ultra-Slim Wired USB Keyboard with Blue Switches Double-Shot Keycaps, Splash-Proof, Full-Key Rollover, Ideal for Windows Mac Gaming","VicTsing Mouse Pad with Stitched Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for…",https://www.amazon.com/VicTsing-Stitched-Premium-Textured-Non-Slip-10-2%C3%978-3%C3%970-08/dp/B075WW7V6W/ref=pd_bxgy_2/134-5452728-9356635?_encoding=UTF8&pd_rd_i=B075WW7V6W&pd_rd_r=9f25ba1d-0dec-4917-8408-56bfeca53375&pd_rd_w=ba0At&pd_rd_wg=gGXd2&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=FBQKC0E9E2N103B5KQPQ&psc=1&refRID=FBQKC0E9E2N103B5KQPQ
